epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.985,3.31624,3.89972,3.18955,0.07183,0.09874,0.06272,0.02474,2.61535,3.27668,2.31572,0.00332921,0.00332921,0.00332921
2,287.383,2.4693,2.76792,2.1539,0.18758,0.16387,0.10516,0.04892,2.18015,2.22945,1.94378,0.00661857,0.00661857,0.00661857
3,444.51,2.24039,2.5339,1.92044,0.12523,0.1644,0.10862,0.05179,2.17402,2.32314,1.86393,0.00986393,0.00986393,0.00986393
4,593.406,2.10524,2.33897,1.77815,0.193,0.20515,0.15474,0.07853,1.94025,2.02211,1.67291,0.009802,0.009802,0.009802
5,733.555,2.01175,2.17157,1.68502,0.22908,0.2274,0.18144,0.09544,1.81933,1.78032,1.58933,0.009736,0.009736,0.009736
6,881.9,1.94048,2.05623,1.62294,0.25421,0.25168,0.20647,0.11076,1.77646,1.74229,1.54585,0.00967,0.00967,0.00967
7,1015.48,1.8914,1.96544,1.58191,0.28421,0.2555,0.22151,0.12035,1.74631,1.65276,1.51617,0.009604,0.009604,0.009604
8,1149.31,1.85531,1.89151,1.54138,0.30601,0.27059,0.23676,0.12936,1.70713,1.60009,1.49536,0.009538,0.009538,0.009538
9,1314.99,1.82016,1.83598,1.51886,0.30008,0.2776,0.24351,0.13545,1.68772,1.60354,1.46415,0.009472,0.009472,0.009472
10,1476.38,1.79888,1.78958,1.49547,0.31645,0.2947,0.25914,0.14391,1.67086,1.55763,1.44389,0.009406,0.009406,0.009406
11,1625.66,1.77036,1.7439,1.47108,0.35636,0.27783,0.26746,0.14822,1.63367,1.54808,1.41758,0.00934,0.00934,0.00934
12,1763.68,1.75393,1.71134,1.45085,0.36238,0.30945,0.28734,0.15893,1.62582,1.47339,1.41454,0.009274,0.009274,0.009274
13,1917.93,1.74541,1.69436,1.44147,0.37024,0.319,0.29454,0.16573,1.60602,1.45709,1.38545,0.009208,0.009208,0.009208
14,2055.91,1.72277,1.66437,1.42597,0.38467,0.30737,0.29453,0.16575,1.60594,1.45261,1.38064,0.009142,0.009142,0.009142
15,2189.58,1.71745,1.64306,1.4047,0.38609,0.32377,0.30597,0.17213,1.58495,1.42122,1.35937,0.009076,0.009076,0.009076
16,2384.07,1.70413,1.62366,1.39707,0.38794,0.32139,0.30806,0.17572,1.58183,1.42099,1.35315,0.00901,0.00901,0.00901
17,2564.63,1.69722,1.61391,1.38685,0.40336,0.32251,0.31282,0.17792,1.56134,1.40861,1.33141,0.008944,0.008944,0.008944
18,2705.03,1.68338,1.60136,1.37225,0.39585,0.34652,0.32439,0.1846,1.56079,1.39733,1.33041,0.008878,0.008878,0.008878
19,2865.63,1.67952,1.58208,1.36039,0.401,0.34981,0.32532,0.18487,1.56475,1.39375,1.32612,0.008812,0.008812,0.008812
20,3034.1,1.67459,1.57581,1.35612,0.3992,0.3368,0.32079,0.18341,1.55581,1.40367,1.31354,0.008746,0.008746,0.008746
21,3173.65,1.67026,1.56657,1.34932,0.40664,0.34853,0.3294,0.18944,1.54241,1.37577,1.30064,0.00868,0.00868,0.00868
22,3305.3,1.6666,1.55821,1.34329,0.4148,0.34016,0.32772,0.18865,1.53815,1.36694,1.30249,0.008614,0.008614,0.008614
