epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.774,3.31303,3.87928,3.2195,0.05443,0.10152,0.0549,0.0209,2.62831,2.88102,2.36216,0.00332921,0.00332921,0.00332921
2,269.03,2.4758,2.78196,2.17993,0.07882,0.15909,0.07886,0.03485,2.29408,2.3455,2.04375,0.00661857,0.00661857,0.00661857
3,417.873,2.26098,2.55905,1.95362,0.1363,0.15421,0.10613,0.05099,2.09424,2.25352,1.83874,0.00986393,0.00986393,0.00986393
4,551.67,2.12151,2.37782,1.80752,0.15772,0.17142,0.12984,0.0658,1.96346,1.99281,1.71791,0.009802,0.009802,0.009802
5,684.594,2.03279,2.22794,1.71575,0.21889,0.2117,0.1672,0.08777,1.85668,1.85548,1.63305,0.009736,0.009736,0.009736
6,822.123,1.96909,2.1252,1.65696,0.22614,0.2093,0.16498,0.08843,1.83435,1.82513,1.59044,0.00967,0.00967,0.00967
7,947.317,1.92574,2.04454,1.61728,0.25131,0.21968,0.18667,0.10019,1.78103,1.73435,1.55471,0.009604,0.009604,0.009604
8,1072.77,1.89174,1.96855,1.57465,0.2642,0.25684,0.21309,0.11579,1.72405,1.6518,1.51902,0.009538,0.009538,0.009538
9,1228.77,1.8581,1.90984,1.55127,0.28537,0.24539,0.21797,0.11853,1.72783,1.64014,1.49963,0.009472,0.009472,0.009472
10,1383.52,1.83669,1.85974,1.52738,0.29496,0.2673,0.23583,0.12916,1.68942,1.59342,1.47589,0.009406,0.009406,0.009406
11,1522.1,1.80772,1.80975,1.5025,0.29728,0.27132,0.23571,0.12868,1.68392,1.57965,1.46431,0.00934,0.00934,0.00934
12,1649.91,1.7937,1.77386,1.48309,0.31894,0.27885,0.25528,0.14109,1.6536,1.53675,1.44432,0.009274,0.009274,0.009274
13,1792.69,1.78352,1.75686,1.47476,0.33204,0.28694,0.26002,0.14506,1.65205,1.51285,1.43128,0.009208,0.009208,0.009208
14,1914.73,1.76157,1.72585,1.45933,0.35501,0.27689,0.26961,0.15151,1.62717,1.48917,1.4102,0.009142,0.009142,0.009142
15,2039.4,1.75592,1.70025,1.4394,0.34415,0.30283,0.27944,0.15529,1.62094,1.45589,1.39517,0.009076,0.009076,0.009076
16,2220.68,1.74378,1.68267,1.43317,0.33892,0.29869,0.27516,0.15406,1.62198,1.48405,1.38744,0.00901,0.00901,0.00901
17,2379.87,1.73406,1.66825,1.42295,0.36235,0.29572,0.27965,0.15875,1.59463,1.45813,1.3687,0.008944,0.008944,0.008944
18,2511.72,1.72046,1.65985,1.40934,0.35363,0.32214,0.2939,0.16631,1.58891,1.44475,1.36641,0.008878,0.008878,0.008878
19,2661.42,1.7185,1.63938,1.3965,0.35956,0.31605,0.2908,0.16306,1.59267,1.44211,1.36168,0.008812,0.008812,0.008812
20,2820.38,1.71301,1.6342,1.39324,0.36072,0.31124,0.28901,0.16324,1.58719,1.44534,1.34983,0.008746,0.008746,0.008746
21,2950.98,1.70828,1.62337,1.38451,0.36198,0.32208,0.29395,0.16763,1.58181,1.42542,1.33896,0.00868,0.00868,0.00868
22,3074.33,1.70635,1.61863,1.37885,0.38983,0.31865,0.30428,0.1733,1.57137,1.41061,1.33428,0.008614,0.008614,0.008614
23,3195.44,1.69257,1.60272,1.36866,0.39123,0.32972,0.31195,0.17811,1.56636,1.4051,1.32511,0.008548,0.008548,0.008548
24,3318.8,1.68958,1.59817,1.36127,0.39794,0.31891,0.30936,0.17834,1.56697,1.40359,1.32165,0.008482,0.008482,0.008482
25,3463.41,1.68471,1.58236,1.35716,0.39793,0.32664,0.31291,0.17899,1.56453,1.39483,1.32671,0.008416,0.008416,0.008416
26,3592.88,1.68338,1.59212,1.35641,0.38789,0.32791,0.31063,0.17725,1.56362,1.39005,1.31462,0.00835,0.00835,0.00835
27,3715.63,1.68154,1.57305,1.35152,0.4001,0.33938,0.32372,0.18641,1.55313,1.38185,1.30781,0.008284,0.008284,0.008284
28,3859.79,1.67354,1.56821,1.34085,0.38805,0.33705,0.31622,0.1816,1.54789,1.38353,1.3045,0.008218,0.008218,0.008218
29,3983.04,1.67289,1.5553,1.33599,0.37744,0.34864,0.326,0.18793,1.54267,1.35686,1.29722,0.008152,0.008152,0.008152
30,4130.07,1.6585,1.53594,1.32212,0.40546,0.34624,0.33083,0.18985,1.53023,1.35115,1.29059,0.008086,0.008086,0.008086
31,4260.76,1.65493,1.53845,1.32646,0.40973,0.34827,0.33348,0.19254,1.52969,1.3487,1.2866,0.00802,0.00802,0.00802
32,4400.19,1.65585,1.53338,1.31991,0.41065,0.35259,0.33667,0.19438,1.52469,1.34197,1.28719,0.007954,0.007954,0.007954
33,4532.38,1.6557,1.5288,1.316,0.40234,0.3536,0.33414,0.19338,1.5257,1.35096,1.28547,0.007888,0.007888,0.007888
34,4677.01,1.64766,1.52492,1.31411,0.40046,0.35416,0.33798,0.19677,1.52764,1.3329,1.28042,0.007822,0.007822,0.007822
35,4798.44,1.64753,1.51549,1.31258,0.4098,0.35339,0.34048,0.19856,1.52445,1.33116,1.27298,0.007756,0.007756,0.007756
36,4931.54,1.63527,1.50825,1.30309,0.40554,0.35331,0.33994,0.19866,1.51998,1.33412,1.27175,0.00769,0.00769,0.00769
37,5056.88,1.63481,1.50493,1.30119,0.41753,0.34466,0.3412,0.1984,1.50914,1.32683,1.2717,0.007624,0.007624,0.007624
38,5181.32,1.63213,1.49955,1.29582,0.40671,0.35939,0.34326,0.19978,1.50798,1.32135,1.26129,0.007558,0.007558,0.007558
39,5326.89,1.63489,1.49435,1.29422,0.42234,0.35736,0.34603,0.20187,1.50582,1.32591,1.26014,0.007492,0.007492,0.007492
40,5462.02,1.62369,1.48361,1.28697,0.40422,0.37052,0.34595,0.20281,1.5035,1.31251,1.25764,0.007426,0.007426,0.007426
41,5611.44,1.62547,1.48289,1.28741,0.42071,0.36316,0.35099,0.20515,1.50219,1.30574,1.25376,0.00736,0.00736,0.00736
42,5737.04,1.62115,1.47533,1.28447,0.42754,0.36027,0.35042,0.20554,1.49618,1.305,1.25251,0.007294,0.007294,0.007294
43,5861.93,1.62502,1.48659,1.28871,0.41789,0.37066,0.35389,0.20718,1.49501,1.3043,1.24992,0.007228,0.007228,0.007228
44,5997.97,1.61616,1.46746,1.28081,0.42761,0.37111,0.35305,0.20622,1.49493,1.30104,1.24721,0.007162,0.007162,0.007162
45,6148.75,1.61251,1.47368,1.27985,0.44081,0.36383,0.35717,0.20972,1.49074,1.2898,1.2464,0.007096,0.007096,0.007096
46,6305.23,1.61198,1.46253,1.2733,0.423,0.3671,0.35344,0.20858,1.48692,1.29079,1.24313,0.00703,0.00703,0.00703
47,6429.95,1.60766,1.45573,1.27537,0.43174,0.37285,0.36004,0.21168,1.48603,1.28815,1.24218,0.006964,0.006964,0.006964
48,6553.34,1.60678,1.45661,1.27259,0.43383,0.37066,0.36372,0.21332,1.4896,1.29055,1.24067,0.006898,0.006898,0.006898
49,6684.79,1.60722,1.45545,1.27216,0.43714,0.36975,0.36293,0.2137,1.48518,1.27968,1.23608,0.006832,0.006832,0.006832
50,6836.67,1.60919,1.45687,1.26664,0.45338,0.36966,0.36425,0.21491,1.48355,1.28104,1.23597,0.006766,0.006766,0.006766
51,6966.77,1.5982,1.44333,1.25862,0.44275,0.37353,0.36554,0.21588,1.4815,1.27636,1.23438,0.0067,0.0067,0.0067
52,7098.37,1.59856,1.44136,1.25759,0.44544,0.37037,0.36832,0.21647,1.47741,1.2751,1.23118,0.006634,0.006634,0.006634
53,7229.69,1.59613,1.44305,1.26068,0.44704,0.37695,0.37026,0.21846,1.47793,1.27153,1.22931,0.006568,0.006568,0.006568
54,7369.67,1.60084,1.44417,1.26276,0.45004,0.37181,0.37077,0.21941,1.47441,1.26665,1.22594,0.006502,0.006502,0.006502
55,7502.3,1.59675,1.43589,1.25544,0.44652,0.37507,0.36964,0.21837,1.47583,1.26835,1.22672,0.006436,0.006436,0.006436
56,7634.86,1.58977,1.42313,1.24812,0.43908,0.38148,0.37134,0.21894,1.47334,1.26221,1.22387,0.00637,0.00637,0.00637
57,7774.03,1.58786,1.42637,1.25101,0.44633,0.37922,0.37311,0.22062,1.47106,1.26459,1.22229,0.006304,0.006304,0.006304
58,7914.64,1.58736,1.42064,1.24853,0.45458,0.37903,0.37559,0.22169,1.46873,1.26042,1.2184,0.006238,0.006238,0.006238
59,8046.72,1.58754,1.42348,1.25031,0.44589,0.38507,0.37947,0.2245,1.46664,1.25772,1.21826,0.006172,0.006172,0.006172
60,8186.01,1.58257,1.41969,1.2487,0.45384,0.3832,0.37835,0.22343,1.46412,1.25325,1.21795,0.006106,0.006106,0.006106
61,8311.37,1.58991,1.42136,1.24799,0.44706,0.38037,0.37765,0.22356,1.46129,1.25393,1.21462,0.00604,0.00604,0.00604
62,8452.85,1.58574,1.41166,1.24235,0.45676,0.38136,0.37913,0.22455,1.46271,1.24974,1.21458,0.005974,0.005974,0.005974
63,8592.15,1.57551,1.40864,1.23683,0.46088,0.38601,0.38053,0.22534,1.46298,1.24718,1.21288,0.005908,0.005908,0.005908
64,8723.53,1.57717,1.40377,1.24047,0.45596,0.38009,0.38208,0.22652,1.4614,1.24541,1.21287,0.005842,0.005842,0.005842
65,8847.01,1.56534,1.39617,1.23132,0.46633,0.37918,0.38318,0.22727,1.46085,1.24217,1.21109,0.005776,0.005776,0.005776
66,9003.24,1.57203,1.40601,1.23947,0.45839,0.39147,0.38557,0.22881,1.4574,1.24051,1.21065,0.00571,0.00571,0.00571
67,9135.17,1.57332,1.40124,1.2337,0.4695,0.38386,0.38503,0.22803,1.45593,1.23894,1.20769,0.005644,0.005644,0.005644
68,9288.39,1.57328,1.39242,1.23231,0.47793,0.37975,0.38556,0.22938,1.45314,1.23929,1.20553,0.005578,0.005578,0.005578
69,9427.45,1.56283,1.38497,1.22866,0.47012,0.38834,0.38877,0.23092,1.45346,1.23443,1.20563,0.005512,0.005512,0.005512
70,9561.94,1.57301,1.39249,1.22932,0.47491,0.38619,0.38853,0.23059,1.45507,1.23438,1.20575,0.005446,0.005446,0.005446
71,9714.51,1.57445,1.39877,1.23319,0.46545,0.38647,0.39101,0.23279,1.45097,1.22821,1.20225,0.00538,0.00538,0.00538
72,9854.92,1.55922,1.37637,1.22147,0.46808,0.3927,0.39237,0.23302,1.45108,1.22872,1.20135,0.005314,0.005314,0.005314
73,9992.88,1.56516,1.38973,1.22618,0.47707,0.3873,0.39143,0.23331,1.4498,1.22982,1.20111,0.005248,0.005248,0.005248
74,10113.9,1.56039,1.37803,1.22454,0.47868,0.38981,0.39302,0.23403,1.44907,1.22853,1.20043,0.005182,0.005182,0.005182
75,10244.2,1.5612,1.38134,1.22538,0.48367,0.38604,0.39405,0.23464,1.44953,1.2258,1.19908,0.005116,0.005116,0.005116
76,10375.8,1.56326,1.38083,1.2236,0.47653,0.39285,0.39522,0.23575,1.44801,1.22403,1.19796,0.00505,0.00505,0.00505
77,10527,1.56125,1.37505,1.22217,0.47805,0.38944,0.39464,0.23522,1.44789,1.22178,1.197,0.004984,0.004984,0.004984
78,10699.9,1.56094,1.37273,1.2158,0.47649,0.39272,0.39483,0.23573,1.44794,1.21919,1.19579,0.004918,0.004918,0.004918
79,10822.3,1.55547,1.37528,1.21938,0.47437,0.3983,0.39588,0.2355,1.44622,1.21927,1.19465,0.004852,0.004852,0.004852
80,10953,1.55602,1.36751,1.21286,0.47968,0.39726,0.39852,0.23721,1.44419,1.21524,1.1938,0.004786,0.004786,0.004786
81,11091.9,1.55357,1.36746,1.21704,0.48127,0.39651,0.3985,0.23721,1.44561,1.21574,1.19364,0.00472,0.00472,0.00472
82,11247.7,1.5477,1.36386,1.2121,0.48893,0.39026,0.39759,0.23743,1.44409,1.2165,1.19188,0.004654,0.004654,0.004654
83,11420.7,1.55359,1.36293,1.21345,0.49016,0.39356,0.40039,0.23901,1.44322,1.21402,1.19133,0.004588,0.004588,0.004588
84,11552.3,1.54797,1.36529,1.21528,0.4837,0.3982,0.40136,0.23949,1.44194,1.2135,1.19039,0.004522,0.004522,0.004522
85,11674.4,1.55252,1.36603,1.21593,0.4871,0.39646,0.4012,0.23908,1.44282,1.21304,1.19054,0.004456,0.004456,0.004456
86,11796.9,1.54666,1.35888,1.21118,0.49028,0.39563,0.40258,0.2402,1.44196,1.2121,1.18927,0.00439,0.00439,0.00439
