epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4405,2.90862,4.31372,2.42901,0.29024,0.16631,0.08577,0.03795,2.25867,2.02592,1.62522,0.0033251,0.0033251,0.0033251
2,134.964,2.05509,2.18606,1.43888,0.07062,0.21323,0.10451,0.04959,2.06061,2.09936,1.37427,0.00661449,0.00661449,0.00661449
1,69.2828,2.88564,4.04179,2.41631,0.0512,0.21496,0.0861,0.03962,2.25536,2.11722,1.6492,0.0033251,0.0033251,0.0033251
2,129.114,2.01134,2.13638,1.45247,0.06394,0.26745,0.10063,0.05106,1.94211,2.36225,1.36046,0.00661449,0.00661449,0.00661449
3,186.073,1.90237,1.76902,1.32584,0.0452,0.2041,0.04877,0.02269,1.97991,2.63143,1.26711,0.00985988,0.00985988,0.00985988
4,243.701,1.8075,1.58591,1.24702,0.12516,0.19735,0.08535,0.03555,1.87281,2.69097,1.18575,0.009802,0.009802,0.009802
5,300.613,1.73953,1.49554,1.20352,0.18606,0.16116,0.10456,0.04392,1.82591,2.50522,1.13211,0.009736,0.009736,0.009736
6,357.383,1.69129,1.42883,1.1714,0.19411,0.15448,0.10938,0.04598,1.84583,2.6507,1.12973,0.00967,0.00967,0.00967
7,413.927,1.6562,1.38125,1.1525,0.22041,0.18827,0.14813,0.06575,1.76923,2.48658,1.1025,0.009604,0.009604,0.009604
8,469.788,1.63358,1.35255,1.13736,0.23815,0.18567,0.15399,0.06866,1.73646,2.57777,1.09574,0.009538,0.009538,0.009538
9,527.232,1.61355,1.32627,1.13016,0.28177,0.19011,0.16311,0.07423,1.77206,2.49934,1.09107,0.009472,0.009472,0.009472
10,584.337,1.58542,1.29404,1.11604,0.30775,0.20516,0.18378,0.08873,1.74512,2.43276,1.08734,0.009406,0.009406,0.009406
11,641.53,1.57376,1.2833,1.11143,0.30884,0.21197,0.1944,0.09495,1.75004,2.40965,1.07893,0.00934,0.00934,0.00934
12,698.887,1.5619,1.25936,1.10099,0.32885,0.21772,0.20464,0.09984,1.77213,2.41175,1.08491,0.009274,0.009274,0.009274
13,753.741,1.55655,1.24756,1.0954,0.34429,0.22032,0.2109,0.10641,1.73981,2.36926,1.06516,0.009208,0.009208,0.009208
14,810.503,1.53502,1.22965,1.08899,0.32069,0.23267,0.21465,0.1102,1.72609,2.34432,1.06173,0.009142,0.009142,0.009142
15,866.67,1.52897,1.22405,1.0853,0.31676,0.23505,0.21532,0.11,1.73924,2.33264,1.0683,0.009076,0.009076,0.009076
16,923.247,1.52176,1.21283,1.08079,0.36934,0.21343,0.21699,0.11289,1.72337,2.49371,1.05985,0.00901,0.00901,0.00901
17,979.801,1.511,1.2023,1.07642,0.36384,0.23795,0.22998,0.12292,1.74766,2.23984,1.06609,0.008944,0.008944,0.008944
18,1036,1.51534,1.1955,1.07308,0.36523,0.23971,0.23603,0.12714,1.69582,2.21589,1.04627,0.008878,0.008878,0.008878
19,1092.73,1.50192,1.18231,1.06741,0.3432,0.2563,0.23533,0.12738,1.67356,2.13074,1.04392,0.008812,0.008812,0.008812
20,1148.65,1.50145,1.18268,1.06732,0.3298,0.25346,0.22254,0.12174,1.71368,2.31217,1.04222,0.008746,0.008746,0.008746
21,1205.32,1.4912,1.17347,1.06293,0.37459,0.25397,0.24739,0.13719,1.66552,2.20201,1.04514,0.00868,0.00868,0.00868
22,1257.45,1.48747,1.17025,1.06144,0.35025,0.26081,0.24156,0.13346,1.67583,2.1772,1.03918,0.008614,0.008614,0.008614
23,1308.77,1.48129,1.15837,1.05724,0.37581,0.25795,0.25245,0.14166,1.67116,2.171,1.0391,0.008548,0.008548,0.008548
24,1360.94,1.47279,1.15014,1.05002,0.38902,0.27173,0.26237,0.14535,1.68695,2.14554,1.0359,0.008482,0.008482,0.008482
25,1414.63,1.46547,1.14012,1.04717,0.38175,0.27458,0.26034,0.14565,1.67623,2.14177,1.02389,0.008416,0.008416,0.008416
26,1471.6,1.46525,1.13799,1.04974,0.37042,0.27457,0.25561,0.14499,1.64509,2.12843,1.02407,0.00835,0.00835,0.00835
27,1527.58,1.46478,1.13207,1.04436,0.38837,0.28748,0.27008,0.15366,1.65319,2.06991,1.03082,0.008284,0.008284,0.008284
28,1584.21,1.45811,1.12314,1.04159,0.39828,0.28668,0.26421,0.1505,1.6267,2.03378,1.01914,0.008218,0.008218,0.008218
29,1640.24,1.45978,1.12678,1.04031,0.40504,0.29258,0.27798,0.15712,1.64716,2.04954,1.02281,0.008152,0.008152,0.008152
30,1696.52,1.44599,1.11836,1.03643,0.41928,0.29759,0.2885,0.1643,1.63412,1.97823,1.02424,0.008086,0.008086,0.008086
31,1753.52,1.44253,1.11208,1.03696,0.41845,0.30222,0.29302,0.16639,1.62591,1.96814,1.01574,0.00802,0.00802,0.00802
32,1810.55,1.44569,1.10528,1.03071,0.42898,0.28948,0.28871,0.16596,1.62774,1.96711,1.01677,0.007954,0.007954,0.007954
33,1867.39,1.43865,1.1015,1.03226,0.43654,0.30652,0.30685,0.17708,1.61502,1.90097,1.0134,0.007888,0.007888,0.007888
34,1925.24,1.43871,1.09801,1.03146,0.41739,0.30216,0.29796,0.1711,1.60006,1.92089,1.00572,0.007822,0.007822,0.007822
35,1981.44,1.43386,1.10015,1.02893,0.43127,0.30736,0.30307,0.17591,1.59079,1.91511,1.0004,0.007756,0.007756,0.007756
36,2038.16,1.43164,1.09199,1.02745,0.42638,0.3099,0.30212,0.17474,1.61492,1.9117,1.00263,0.00769,0.00769,0.00769
37,2094.3,1.42363,1.08398,1.02213,0.42414,0.31611,0.30829,0.17993,1.58112,1.8625,0.99943,0.007624,0.007624,0.007624
38,2151.36,1.4311,1.08755,1.02424,0.41933,0.32062,0.30751,0.18105,1.60081,1.89518,1.002,0.007558,0.007558,0.007558
39,2207.74,1.42681,1.08297,1.01992,0.43944,0.32212,0.31648,0.18422,1.59056,1.83952,0.99633,0.007492,0.007492,0.007492
40,2263.84,1.41978,1.07567,1.01962,0.44148,0.32413,0.32173,0.18825,1.58101,1.84118,0.998,0.007426,0.007426,0.007426
41,2320.4,1.42132,1.07533,1.01854,0.45047,0.32046,0.32248,0.1885,1.57637,1.75961,0.99842,0.00736,0.00736,0.00736
42,2376.84,1.41565,1.07471,1.01645,0.4678,0.32526,0.32822,0.19292,1.57574,1.81209,0.99523,0.007294,0.007294,0.007294
43,2434.23,1.41599,1.07128,1.01832,0.44985,0.32647,0.32679,0.19259,1.56194,1.77589,0.99222,0.007228,0.007228,0.007228
44,2490.62,1.39821,1.06027,1.01356,0.45786,0.32356,0.3275,0.19431,1.56658,1.77193,0.99489,0.007162,0.007162,0.007162
45,2547.49,1.40703,1.06318,1.01435,0.46643,0.33197,0.33349,0.1982,1.53682,1.68984,0.99036,0.007096,0.007096,0.007096
46,2603.93,1.39989,1.05306,1.0111,0.43919,0.33845,0.32998,0.19458,1.53921,1.72889,0.98841,0.00703,0.00703,0.00703
47,2660.41,1.40687,1.06076,1.01495,0.45563,0.33794,0.33263,0.19642,1.54357,1.68676,0.99282,0.006964,0.006964,0.006964
48,2716.28,1.39846,1.05396,1.00848,0.45513,0.33819,0.33703,0.19928,1.53356,1.67605,0.98767,0.006898,0.006898,0.006898
49,2772.88,1.40254,1.05645,1.00956,0.48238,0.33976,0.34045,0.2021,1.51505,1.63952,0.98601,0.006832,0.006832,0.006832
50,2829.47,1.40563,1.05302,1.00824,0.44749,0.33746,0.33358,0.19884,1.53297,1.67418,0.98894,0.006766,0.006766,0.006766
51,2886.51,1.39896,1.04927,1.00451,0.45284,0.34444,0.34294,0.20451,1.52008,1.65712,0.9876,0.0067,0.0067,0.0067
52,2943.12,1.39022,1.04038,1.00287,0.46993,0.34556,0.34626,0.2066,1.5114,1.63434,0.98109,0.006634,0.006634,0.006634
53,2999.79,1.39568,1.04679,1.00488,0.45728,0.34148,0.34333,0.20456,1.50239,1.60886,0.98727,0.006568,0.006568,0.006568
54,3056.77,1.3962,1.04419,1.00579,0.46792,0.33768,0.34483,0.20665,1.51289,1.63583,0.98499,0.006502,0.006502,0.006502
55,3113.78,1.39155,1.0412,1.00388,0.46145,0.34581,0.34611,0.20745,1.49908,1.61234,0.98058,0.006436,0.006436,0.006436
