epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2786,1.93065,3.2353,1.21399,0.29024,0.16951,0.09524,0.05123,1.70538,1.95963,1.09014,0.00332921,0.00332921,0.00332921
2,173.734,1.74176,2.04722,1.09515,0.27045,0.18687,0.14082,0.08015,1.62956,1.66598,1.06837,0.00661857,0.00661857,0.00661857
3,258.992,1.97172,2.28886,1.17389,0.07045,0.11285,0.06352,0.03017,2.32856,2.43459,1.31441,0.00986393,0.00986393,0.00986393
4,340.405,2.16856,2.50297,1.23363,0.22309,0.10931,0.07656,0.04032,2.04536,2.14458,1.2169,0.009802,0.009802,0.009802
5,421.472,2.06479,2.31931,1.18723,0.22776,0.12783,0.09204,0.04859,1.9601,2.04542,1.15779,0.009736,0.009736,0.009736
6,502.314,2.00285,2.22361,1.16303,0.27009,0.1296,0.10605,0.05867,1.87221,1.91147,1.13617,0.00967,0.00967,0.00967
7,582.016,1.93563,2.1021,1.13783,0.21698,0.15854,0.12811,0.07063,1.77078,1.79028,1.08954,0.009604,0.009604,0.009604
8,661.063,1.89531,2.02792,1.12001,0.23639,0.16257,0.13782,0.07746,1.7761,1.73179,1.10124,0.009538,0.009538,0.009538
9,741.93,1.84934,1.95708,1.1066,0.21004,0.16488,0.13329,0.07512,1.7898,1.76473,1.08265,0.009472,0.009472,0.009472
10,826.153,1.84909,1.94196,1.10298,0.19929,0.20273,0.14615,0.08249,1.70891,1.7,1.05993,0.009406,0.009406,0.009406
11,907.125,1.8089,1.87215,1.08971,0.20809,0.17633,0.14072,0.07869,1.73688,1.7048,1.07391,0.00934,0.00934,0.00934
12,987.102,1.78073,1.82186,1.07861,0.25539,0.19443,0.17476,0.10053,1.64407,1.54985,1.05249,0.009274,0.009274,0.009274
13,1068.49,1.76446,1.78818,1.07359,0.26129,0.19823,0.17472,0.09954,1.64727,1.55855,1.05111,0.009208,0.009208,0.009208
14,1146.23,1.75148,1.76331,1.07072,0.26858,0.20709,0.1779,0.10393,1.63537,1.54215,1.03632,0.009142,0.009142,0.009142
15,1227.61,1.76215,1.76779,1.06562,0.25433,0.20697,0.1808,0.10279,1.63349,1.52429,1.04128,0.009076,0.009076,0.009076
16,1302.91,1.73777,1.73587,1.06369,0.27161,0.20341,0.17986,0.10403,1.63075,1.51945,1.03082,0.00901,0.00901,0.00901
17,1383.05,1.71479,1.69939,1.05523,0.27712,0.21711,0.19659,0.11524,1.59,1.46027,1.0228,0.008944,0.008944,0.008944
18,1463.31,1.69879,1.67708,1.05117,0.27153,0.22232,0.19774,0.11473,1.57922,1.48677,1.0255,0.008878,0.008878,0.008878
19,1543.96,1.68991,1.65335,1.04537,0.28293,0.22626,0.20309,0.11899,1.58632,1.4466,1.02061,0.008812,0.008812,0.008812
20,1624.89,1.69004,1.65379,1.04732,0.27957,0.22248,0.19899,0.11626,1.57728,1.45632,1.02021,0.008746,0.008746,0.008746
21,1705,1.68026,1.63513,1.04338,0.28463,0.24156,0.21365,0.12622,1.55678,1.40946,1.01162,0.00868,0.00868,0.00868
22,1785.85,1.67168,1.61168,1.04114,0.30518,0.23924,0.22214,0.12876,1.55356,1.39892,1.01611,0.008614,0.008614,0.008614
23,1866.08,1.65468,1.59212,1.03494,0.29576,0.23896,0.21788,0.12897,1.54176,1.38754,1.00665,0.008548,0.008548,0.008548
24,1946.65,1.66179,1.60139,1.03685,0.29674,0.24033,0.21694,0.1276,1.55877,1.40835,1.00852,0.008482,0.008482,0.008482
25,2027.95,1.6575,1.59173,1.03569,0.29583,0.23649,0.21787,0.12661,1.54788,1.39166,1.01277,0.008416,0.008416,0.008416
26,2105.93,1.67109,1.61518,1.03846,0.28476,0.23549,0.21441,0.1243,1.57289,1.42699,1.0119,0.00835,0.00835,0.00835
27,2186.03,1.68595,1.62688,1.04212,0.29218,0.23659,0.21327,0.12432,1.56704,1.4203,1.00798,0.008284,0.008284,0.008284
28,2267.28,1.68276,1.62012,1.0394,0.3009,0.22826,0.21001,0.12321,1.56992,1.43424,1.00743,0.008218,0.008218,0.008218
29,2347.54,1.68746,1.61879,1.03823,0.28676,0.23528,0.21345,0.12475,1.56753,1.41665,1.01064,0.008152,0.008152,0.008152
30,2427.28,1.66909,1.58812,1.02946,0.31033,0.23626,0.21573,0.12678,1.56423,1.40894,1.00712,0.008086,0.008086,0.008086
31,2505.15,1.67115,1.60341,1.03407,0.30059,0.2437,0.22157,0.13065,1.55335,1.40324,1.00823,0.00802,0.00802,0.00802
32,2585.54,1.67629,1.60386,1.03329,0.34071,0.22861,0.21725,0.1259,1.55447,1.41524,1.00719,0.007954,0.007954,0.007954
33,2665.42,1.67895,1.59554,1.03214,0.31234,0.24035,0.22753,0.13404,1.53978,1.38502,1.00113,0.007888,0.007888,0.007888
34,2745.81,1.65089,1.56331,1.02736,0.32023,0.2475,0.2378,0.13855,1.51903,1.3563,1.00001,0.007822,0.007822,0.007822
35,2825.99,1.64765,1.55472,1.0273,0.3314,0.24786,0.23871,0.14048,1.51672,1.34585,0.99623,0.007756,0.007756,0.007756
36,2906.84,1.63122,1.53897,1.02069,0.33605,0.25042,0.23933,0.14196,1.50852,1.33559,0.99408,0.00769,0.00769,0.00769
37,2987.26,1.6277,1.53076,1.01948,0.33178,0.25451,0.24416,0.14471,1.50803,1.33954,0.99587,0.007624,0.007624,0.007624
38,3066.84,1.61867,1.51237,1.01622,0.35678,0.26151,0.25196,0.14941,1.49397,1.31405,0.99061,0.007558,0.007558,0.007558
39,3142.75,1.61911,1.50073,1.01612,0.35104,0.26987,0.25371,0.15029,1.49242,1.31843,0.99207,0.007492,0.007492,0.007492
40,3222.77,1.60874,1.49639,1.01235,0.36117,0.26251,0.25569,0.15158,1.4832,1.30167,0.98773,0.007426,0.007426,0.007426
41,3301.13,1.60162,1.48222,1.01081,0.36826,0.26846,0.25792,0.15147,1.48217,1.29529,0.98472,0.00736,0.00736,0.00736
