epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3653,1.69449,2.32955,1.13586,0.36724,0.22925,0.19477,0.10923,1.51729,1.46069,1.06513,0.00332921,0.00332921,0.00332921
2,151.064,1.60582,1.64189,1.07289,0.34325,0.2757,0.2472,0.14497,1.44168,1.31603,1.02782,0.00661857,0.00661857,0.00661857
3,230.421,1.61811,1.56889,1.07,0.3353,0.29339,0.26233,0.15027,1.51398,1.33387,1.0453,0.00986393,0.00986393,0.00986393
4,308.921,1.611,1.5249,1.06593,0.33814,0.30538,0.27647,0.16206,1.44517,1.28893,1.02517,0.009802,0.009802,0.009802
5,384.434,1.58338,1.44962,1.05178,0.39419,0.3178,0.296,0.17274,1.45004,1.22768,1.01861,0.009736,0.009736,0.009736
6,453.787,1.55474,1.39352,1.04229,0.39839,0.32676,0.30736,0.18244,1.43187,1.20542,1.01375,0.00967,0.00967,0.00967
7,530.718,1.53617,1.35203,1.03687,0.40981,0.33588,0.32294,0.18985,1.41938,1.16043,1.01272,0.009604,0.009604,0.009604
8,608.394,1.51742,1.31541,1.02738,0.42581,0.34326,0.33602,0.19878,1.393,1.15376,1.00571,0.009538,0.009538,0.009538
9,686.277,1.50074,1.28826,1.02404,0.43657,0.35009,0.34382,0.20382,1.38182,1.14033,0.99947,0.009472,0.009472,0.009472
10,762.483,1.49166,1.26222,1.01925,0.43671,0.34481,0.34507,0.20577,1.38323,1.13144,1.00088,0.009406,0.009406,0.009406
11,832.628,1.47705,1.23494,1.01485,0.44315,0.34993,0.35012,0.20925,1.38332,1.13604,0.99887,0.00934,0.00934,0.00934
12,901.532,1.46989,1.224,1.01085,0.45903,0.36992,0.36444,0.21743,1.36913,1.09993,0.99265,0.009274,0.009274,0.009274
13,975.038,1.46969,1.21071,1.01124,0.45998,0.36825,0.36399,0.21649,1.36142,1.09942,0.99379,0.009208,0.009208,0.009208
14,1051.51,1.45137,1.19329,1.00756,0.46135,0.37475,0.37302,0.22325,1.35276,1.07088,0.98831,0.009142,0.009142,0.009142
15,1127.08,1.45489,1.18349,1.00217,0.45615,0.37836,0.37083,0.22329,1.35299,1.06977,0.98298,0.009076,0.009076,0.009076
16,1203.82,1.44353,1.1713,1.00284,0.4672,0.37284,0.37196,0.22301,1.34781,1.06497,0.98199,0.00901,0.00901,0.00901
17,1278.04,1.44,1.16588,1.00094,0.46713,0.37887,0.38118,0.22774,1.33793,1.05346,0.98331,0.008944,0.008944,0.008944
18,1353.71,1.43151,1.15902,0.99803,0.47274,0.36889,0.37623,0.22611,1.34374,1.07097,0.98401,0.008878,0.008878,0.008878
