epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.355,2.64465,2.98787,2.76346,0.31784,0.16885,0.11303,0.05259,2.04046,1.93007,2.05461,0.00332921,0.00332921,0.00332921
2,281.881,2.04887,2.15657,1.9259,0.23352,0.2035,0.13858,0.06707,1.90633,1.80004,1.81362,0.00661857,0.00661857,0.00661857
3,432.519,1.95231,2.06032,1.78095,0.32542,0.24007,0.18248,0.09395,1.81032,1.72573,1.70262,0.00986393,0.00986393,0.00986393
4,573.428,1.88745,1.96276,1.7009,0.37488,0.23141,0.20847,0.11614,1.69258,1.61939,1.59654,0.009802,0.009802,0.009802
5,711.713,1.82972,1.86908,1.63666,0.38603,0.26671,0.23729,0.13142,1.68737,1.56469,1.57616,0.009736,0.009736,0.009736
6,857.064,1.78604,1.79252,1.59968,0.41688,0.27437,0.24983,0.14252,1.64439,1.52284,1.53895,0.00967,0.00967,0.00967
7,984.594,1.75779,1.73087,1.57607,0.36649,0.30417,0.27606,0.15652,1.61044,1.45894,1.52048,0.009604,0.009604,0.009604
8,1113.94,1.73323,1.67073,1.54696,0.3765,0.31009,0.28775,0.16433,1.60664,1.43344,1.50772,0.009538,0.009538,0.009538
9,1277.6,1.7082,1.61885,1.53351,0.38613,0.30817,0.2941,0.17249,1.58925,1.40974,1.48721,0.009472,0.009472,0.009472
10,1442.09,1.6913,1.58177,1.51583,0.3792,0.33076,0.30817,0.18043,1.56346,1.38926,1.47012,0.009406,0.009406,0.009406
11,1589.51,1.67415,1.54097,1.50354,0.41436,0.33377,0.32312,0.19008,1.55639,1.35007,1.46355,0.00934,0.00934,0.00934
12,1728.42,1.6643,1.52213,1.49067,0.41705,0.34924,0.32874,0.19049,1.55741,1.34193,1.46182,0.009274,0.009274,0.009274
13,1883.21,1.65853,1.50062,1.48816,0.41866,0.35172,0.33691,0.19733,1.52745,1.31747,1.44658,0.009208,0.009208,0.009208
14,2011.61,1.6389,1.47293,1.48007,0.44645,0.35205,0.34622,0.20337,1.52944,1.2917,1.43789,0.009142,0.009142,0.009142
15,2141.7,1.63598,1.45805,1.46343,0.43512,0.36318,0.34813,0.20395,1.52556,1.29152,1.43219,0.009076,0.009076,0.009076
16,2328.78,1.62578,1.4434,1.46599,0.44409,0.35729,0.34824,0.20365,1.52239,1.29244,1.4352,0.00901,0.00901,0.00901
17,2501.8,1.61941,1.42975,1.45998,0.44353,0.36788,0.356,0.20909,1.50032,1.27516,1.42329,0.008944,0.008944,0.008944
18,2639.36,1.6077,1.41836,1.45094,0.42313,0.37197,0.35459,0.20941,1.50617,1.28069,1.42019,0.008878,0.008878,0.008878
19,2795.65,1.60381,1.40383,1.44546,0.43013,0.36874,0.35586,0.21055,1.51155,1.27055,1.4209,0.008812,0.008812,0.008812
20,2960.81,1.6005,1.39857,1.44644,0.43572,0.37894,0.36292,0.21512,1.49896,1.26206,1.41228,0.008746,0.008746,0.008746
21,3097.92,1.5964,1.38664,1.44154,0.45256,0.3865,0.36913,0.22049,1.48858,1.24448,1.40577,0.00868,0.00868,0.00868
22,3225.76,1.59794,1.38193,1.43953,0.44629,0.38354,0.36764,0.21916,1.48825,1.24161,1.40814,0.008614,0.008614,0.008614
23,3353.63,1.58239,1.36664,1.43182,0.47361,0.37307,0.37547,0.22434,1.48783,1.23507,1.40568,0.008548,0.008548,0.008548
24,3481.9,1.58191,1.36379,1.43057,0.45675,0.38545,0.37702,0.22375,1.48736,1.22875,1.40356,0.008482,0.008482,0.008482
25,3631.69,1.57693,1.3505,1.42618,0.46247,0.38897,0.38597,0.22909,1.47935,1.21915,1.39577,0.008416,0.008416,0.008416
26,3766.63,1.57777,1.359,1.42899,0.47542,0.37406,0.37608,0.22358,1.47878,1.22157,1.39329,0.00835,0.00835,0.00835
27,3893.24,1.57729,1.34408,1.42613,0.47304,0.38806,0.38633,0.23172,1.47311,1.21929,1.38605,0.008284,0.008284,0.008284
28,4040.35,1.56966,1.33983,1.41772,0.46804,0.38819,0.38216,0.2265,1.48091,1.22206,1.38804,0.008218,0.008218,0.008218
29,4169.38,1.57254,1.3297,1.41341,0.4769,0.39055,0.39157,0.23243,1.47652,1.21235,1.38796,0.008152,0.008152,0.008152
30,4321.92,1.5619,1.31961,1.39989,0.4853,0.38946,0.39553,0.23646,1.45952,1.20672,1.37726,0.008086,0.008086,0.008086
31,4457.92,1.55627,1.31892,1.40624,0.49083,0.40114,0.39855,0.23825,1.46147,1.19907,1.37719,0.00802,0.00802,0.00802
32,4603.22,1.56194,1.32087,1.39992,0.49831,0.39167,0.40255,0.2409,1.46621,1.19262,1.38015,0.007954,0.007954,0.007954
33,4740.29,1.56681,1.3197,1.39676,0.47361,0.39369,0.3963,0.23808,1.46082,1.2088,1.36994,0.007888,0.007888,0.007888
34,4891.44,1.56061,1.31979,1.39847,0.47764,0.40039,0.40206,0.24247,1.4593,1.20032,1.36469,0.007822,0.007822,0.007822
35,5017.37,1.56294,1.31348,1.39549,0.48384,0.40054,0.40151,0.24144,1.45908,1.19951,1.36361,0.007756,0.007756,0.007756
36,5153.6,1.55223,1.31129,1.38583,0.49022,0.40343,0.408,0.24554,1.46482,1.20072,1.36366,0.00769,0.00769,0.00769
37,5281.04,1.55306,1.30698,1.38155,0.49481,0.39544,0.40359,0.24332,1.45681,1.19019,1.359,0.007624,0.007624,0.007624
38,5408.24,1.55105,1.30298,1.378,0.50554,0.40796,0.41355,0.25027,1.46162,1.19521,1.35693,0.007558,0.007558,0.007558
39,5556.77,1.5548,1.30127,1.37705,0.49303,0.4025,0.40868,0.24565,1.4593,1.1969,1.35526,0.007492,0.007492,0.007492
40,5693.97,1.545,1.29062,1.37015,0.50138,0.41119,0.41489,0.25014,1.45304,1.1829,1.35478,0.007426,0.007426,0.007426
41,5848.85,1.54605,1.2889,1.37062,0.49632,0.40605,0.41001,0.24585,1.4575,1.18588,1.35084,0.00736,0.00736,0.00736
42,5975.81,1.54423,1.28501,1.36873,0.49966,0.40776,0.4126,0.24862,1.44857,1.18664,1.34242,0.007294,0.007294,0.007294
43,6110.21,1.548,1.29343,1.37394,0.50247,0.40731,0.41604,0.25109,1.4494,1.17541,1.34407,0.007228,0.007228,0.007228
44,6245.43,1.53914,1.27982,1.36644,0.50477,0.39867,0.4111,0.24753,1.45285,1.17963,1.34474,0.007162,0.007162,0.007162
45,6394.47,1.53686,1.28422,1.36437,0.50311,0.40969,0.41704,0.25173,1.44441,1.17229,1.3377,0.007096,0.007096,0.007096
46,6552.01,1.53664,1.27312,1.36116,0.50563,0.41075,0.42047,0.25356,1.44276,1.16716,1.33715,0.00703,0.00703,0.00703
47,6684.39,1.53294,1.27036,1.36219,0.49814,0.41709,0.42285,0.25438,1.44481,1.16249,1.33801,0.006964,0.006964,0.006964
48,6811.45,1.53048,1.26565,1.35938,0.51084,0.40474,0.41872,0.25283,1.44503,1.16935,1.33459,0.006898,0.006898,0.006898
49,6947.11,1.53129,1.26915,1.36022,0.51129,0.41357,0.42215,0.25528,1.44051,1.16592,1.33114,0.006832,0.006832,0.006832
50,7106.81,1.53359,1.27222,1.35526,0.5135,0.40938,0.42294,0.25612,1.43821,1.16366,1.331,0.006766,0.006766,0.006766
51,7248.47,1.52519,1.25875,1.34635,0.50849,0.41355,0.42279,0.25653,1.44145,1.16213,1.33013,0.0067,0.0067,0.0067
52,7384.12,1.52457,1.2578,1.34678,0.51673,0.40674,0.42647,0.2593,1.4335,1.15666,1.32676,0.006634,0.006634,0.006634
53,7518.85,1.52124,1.2572,1.3508,0.52184,0.41741,0.4287,0.26008,1.43517,1.151,1.3263,0.006568,0.006568,0.006568
54,7661.37,1.52758,1.25907,1.3551,0.51271,0.41815,0.43103,0.26251,1.43595,1.14952,1.32679,0.006502,0.006502,0.006502
55,7797.52,1.52315,1.25161,1.34615,0.50601,0.42114,0.42907,0.26037,1.43701,1.14932,1.3265,0.006436,0.006436,0.006436
56,7934.22,1.51616,1.24192,1.33807,0.50952,0.42654,0.43347,0.26229,1.43267,1.14623,1.32151,0.00637,0.00637,0.00637
57,8077.27,1.51482,1.24468,1.34488,0.51235,0.41725,0.43019,0.26054,1.42935,1.1452,1.32321,0.006304,0.006304,0.006304
58,8221.07,1.51536,1.24057,1.34282,0.52183,0.42032,0.4326,0.26224,1.43143,1.14443,1.3234,0.006238,0.006238,0.006238
59,8356.49,1.51527,1.24074,1.34366,0.50708,0.42346,0.43058,0.26167,1.4309,1.14949,1.3206,0.006172,0.006172,0.006172
