epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2884,2.86515,3.76652,1.66612,0.27948,0.08397,0.05544,0.02689,2.13583,2.48637,1.22199,0.0033251,0.0033251,0.0033251
2,140.851,2.03054,2.33389,1.20409,0.15748,0.159,0.10215,0.05172,1.83846,1.92576,1.16755,0.00661449,0.00661449,0.00661449
1,73.559,2.81404,3.76378,1.6453,0.26989,0.11716,0.06332,0.03062,2.11821,2.64177,1.21989,0.0033251,0.0033251,0.0033251
2,140.659,2.01565,2.31981,1.20253,0.14368,0.16821,0.10322,0.05439,1.87099,2.02491,1.16148,0.00661449,0.00661449,0.00661449
3,204.23,1.89139,2.05432,1.1539,0.17667,0.1898,0.13132,0.06967,1.77148,1.74041,1.12804,0.00985988,0.00985988,0.00985988
4,268.365,1.80623,1.87213,1.11933,0.23327,0.1987,0.15006,0.08291,1.72906,1.65036,1.12664,0.009802,0.009802,0.009802
5,330.982,1.74312,1.74368,1.09708,0.25464,0.23796,0.193,0.10917,1.60998,1.48251,1.06469,0.009736,0.009736,0.009736
6,393.797,1.69915,1.64447,1.07868,0.25685,0.23847,0.19775,0.11388,1.62211,1.46207,1.06005,0.00967,0.00967,0.00967
7,455.37,1.66618,1.57435,1.06684,0.3048,0.27603,0.23728,0.13715,1.55552,1.40383,1.05139,0.009604,0.009604,0.009604
8,518.484,1.64168,1.52276,1.05824,0.34678,0.27957,0.24885,0.1429,1.53129,1.39962,1.0418,0.009538,0.009538,0.009538
9,580.691,1.61922,1.48284,1.05261,0.35201,0.28218,0.26197,0.15249,1.51204,1.30028,1.02799,0.009472,0.009472,0.009472
10,643.129,1.59267,1.4344,1.04212,0.34909,0.28872,0.27095,0.15577,1.49478,1.28621,1.03054,0.009406,0.009406,0.009406
11,705.735,1.57864,1.41526,1.03905,0.36544,0.29154,0.27933,0.16143,1.47422,1.29076,1.02352,0.00934,0.00934,0.00934
12,768.619,1.56722,1.37888,1.03273,0.37724,0.30826,0.29472,0.17123,1.46365,1.24285,1.01363,0.009274,0.009274,0.009274
13,830.501,1.55488,1.36203,1.0284,0.40024,0.31549,0.30535,0.17938,1.45445,1.22277,1.01313,0.009208,0.009208,0.009208
14,892.65,1.53378,1.33542,1.02362,0.41712,0.31148,0.29957,0.17351,1.43666,1.20505,1.00561,0.009142,0.009142,0.009142
15,954.428,1.52701,1.32076,1.02143,0.41481,0.31914,0.31055,0.18175,1.43499,1.20511,1.00771,0.009076,0.009076,0.009076
16,1014.56,1.52001,1.30722,1.01979,0.40704,0.32367,0.31537,0.18544,1.42031,1.17659,1.00349,0.00901,0.00901,0.00901
17,1075.17,1.50734,1.2923,1.01652,0.39284,0.32555,0.31284,0.18375,1.41872,1.18433,0.99647,0.008944,0.008944,0.008944
18,1136.62,1.51294,1.28159,1.01621,0.394,0.33484,0.32158,0.18887,1.41019,1.15919,1.00524,0.008878,0.008878,0.008878
19,1198.45,1.4966,1.26342,1.01064,0.41957,0.33512,0.33205,0.19465,1.39937,1.14345,0.99625,0.008812,0.008812,0.008812
20,1260.13,1.49515,1.26176,1.01217,0.41579,0.34166,0.32855,0.19344,1.39732,1.15759,0.99377,0.008746,0.008746,0.008746
21,1322.11,1.48691,1.25033,1.00956,0.43103,0.33798,0.33683,0.20111,1.40089,1.13693,0.99183,0.00868,0.00868,0.00868
22,1383.85,1.48263,1.24236,1.00822,0.41928,0.34848,0.33207,0.19649,1.39976,1.13692,0.99908,0.008614,0.008614,0.008614
23,1445.05,1.47467,1.23138,1.00525,0.44043,0.34154,0.33934,0.20298,1.39831,1.12738,0.99415,0.008548,0.008548,0.008548
24,1507.12,1.46778,1.21745,1.00198,0.43747,0.34344,0.34082,0.20274,1.38583,1.12034,0.98851,0.008482,0.008482,0.008482
25,1569.3,1.45921,1.20732,0.9999,0.4393,0.36001,0.34868,0.2076,1.37371,1.11884,0.9872,0.008416,0.008416,0.008416
26,1631.61,1.45821,1.20341,1.00046,0.43037,0.35905,0.35166,0.21036,1.37171,1.1114,0.98382,0.00835,0.00835,0.00835
27,1693.53,1.4577,1.19438,0.99866,0.43851,0.3632,0.35567,0.21385,1.36968,1.10303,0.9882,0.008284,0.008284,0.008284
28,1755.89,1.45145,1.18387,0.99612,0.44216,0.36075,0.35659,0.21301,1.36905,1.09458,0.9841,0.008218,0.008218,0.008218
29,1817.34,1.45297,1.18668,0.99548,0.43943,0.36451,0.35856,0.2159,1.36982,1.09393,0.98329,0.008152,0.008152,0.008152
30,1878.75,1.43656,1.17542,0.99238,0.45115,0.36353,0.35944,0.21552,1.36362,1.08629,0.98158,0.008086,0.008086,0.008086
31,1940.47,1.4345,1.17102,0.99346,0.45298,0.35999,0.36342,0.21836,1.35254,1.07645,0.98191,0.00802,0.00802,0.00802
32,2002.71,1.44039,1.16483,0.99087,0.45481,0.36113,0.36008,0.21292,1.35689,1.08314,0.98311,0.007954,0.007954,0.007954
33,2065.08,1.43094,1.15887,0.99015,0.46241,0.37545,0.37413,0.2216,1.35694,1.0745,0.98062,0.007888,0.007888,0.007888
34,2127.37,1.43048,1.15338,0.99086,0.44764,0.37259,0.36565,0.21995,1.34729,1.07522,0.97782,0.007822,0.007822,0.007822
35,2189.71,1.42563,1.15504,0.98865,0.46351,0.37444,0.37359,0.22352,1.35047,1.06826,0.97836,0.007756,0.007756,0.007756
36,2252.37,1.42123,1.14343,0.98712,0.46019,0.37147,0.3708,0.22316,1.3484,1.0693,0.97933,0.00769,0.00769,0.00769
37,2314.76,1.41645,1.13603,0.98463,0.46984,0.38098,0.37907,0.22844,1.34009,1.05484,0.97586,0.007624,0.007624,0.007624
38,2377.38,1.42328,1.13691,0.98704,0.47693,0.37552,0.37888,0.22859,1.34005,1.05646,0.97673,0.007558,0.007558,0.007558
39,2439.99,1.41849,1.13362,0.98328,0.47299,0.38107,0.37976,0.22977,1.3372,1.05684,0.97301,0.007492,0.007492,0.007492
40,2502.02,1.41028,1.1231,0.98332,0.4793,0.3754,0.37808,0.22829,1.3369,1.05103,0.97245,0.007426,0.007426,0.007426
41,2563.98,1.41257,1.12393,0.98271,0.48764,0.3754,0.38399,0.23114,1.33793,1.05136,0.9735,0.00736,0.00736,0.00736
42,2625.98,1.40612,1.12206,0.98074,0.48319,0.38217,0.38922,0.23484,1.33609,1.04003,0.97211,0.007294,0.007294,0.007294
43,2687.76,1.40676,1.11729,0.98297,0.47165,0.38525,0.38575,0.23467,1.33064,1.03709,0.97143,0.007228,0.007228,0.007228
44,2748.97,1.38986,1.10661,0.97876,0.47829,0.379,0.38927,0.236,1.32317,1.03599,0.97032,0.007162,0.007162,0.007162
45,2810.33,1.39769,1.11015,0.98077,0.48248,0.38393,0.38843,0.2354,1.32737,1.03699,0.97104,0.007096,0.007096,0.007096
46,2871.82,1.38972,1.09798,0.97732,0.48789,0.38825,0.39797,0.2423,1.32382,1.03082,0.96954,0.00703,0.00703,0.00703
47,2933.96,1.39804,1.10616,0.98151,0.49986,0.38105,0.3956,0.23878,1.32888,1.02713,0.96946,0.006964,0.006964,0.006964
48,2995.32,1.39008,1.09795,0.9766,0.49215,0.3834,0.3899,0.23527,1.3277,1.02714,0.96869,0.006898,0.006898,0.006898
49,3057.01,1.39055,1.09946,0.97745,0.49303,0.39361,0.40203,0.24246,1.31978,1.02227,0.96759,0.006832,0.006832,0.006832
50,3119.14,1.39555,1.09696,0.97706,0.49936,0.38968,0.40082,0.24297,1.31766,1.02316,0.96723,0.006766,0.006766,0.006766
51,3180.43,1.38962,1.09516,0.97501,0.50051,0.39157,0.40248,0.24283,1.31632,1.02218,0.96901,0.0067,0.0067,0.0067
52,3241.83,1.38063,1.08479,0.97284,0.50447,0.38398,0.40373,0.24496,1.31092,1.0165,0.96495,0.006634,0.006634,0.006634
53,3303.65,1.38516,1.09023,0.97446,0.49311,0.38926,0.40068,0.24326,1.31694,1.01753,0.96644,0.006568,0.006568,0.006568
54,3365.11,1.38567,1.08642,0.97542,0.50129,0.39264,0.4038,0.24484,1.31501,1.01037,0.96654,0.006502,0.006502,0.006502
55,3427.13,1.38123,1.08197,0.97441,0.49241,0.39694,0.40382,0.24484,1.31108,1.01287,0.96384,0.006436,0.006436,0.006436
56,3488.32,1.37926,1.07664,0.96919,0.50291,0.39252,0.40482,0.24551,1.31634,1.01345,0.96612,0.00637,0.00637,0.00637
57,3557.93,1.37819,1.07355,0.97249,0.50836,0.3929,0.40803,0.24836,1.3089,1.0095,0.96365,0.006304,0.006304,0.006304
58,3618.4,1.37373,1.06816,0.97231,0.50136,0.39521,0.40823,0.24763,1.30861,1.00635,0.96386,0.006238,0.006238,0.006238
59,3679.45,1.37606,1.07192,0.97235,0.50654,0.39111,0.40753,0.2472,1.30983,1.00238,0.96287,0.006172,0.006172,0.006172
60,3741.77,1.36985,1.06421,0.96989,0.50715,0.3928,0.408,0.24799,1.30985,1.00275,0.96323,0.006106,0.006106,0.006106
61,3803.55,1.3681,1.06202,0.96929,0.50827,0.39735,0.41153,0.25068,1.30662,0.99881,0.96239,0.00604,0.00604,0.00604
62,3859.43,1.36583,1.0609,0.9671,0.50707,0.3978,0.41228,0.25129,1.30437,0.99682,0.96277,0.005974,0.005974,0.005974
63,3918.37,1.36125,1.05395,0.96941,0.50109,0.39627,0.41162,0.24955,1.30881,1.00015,0.96318,0.005908,0.005908,0.005908
64,3979.71,1.3585,1.04986,0.9657,0.51311,0.39711,0.41349,0.25104,1.30799,0.99809,0.96325,0.005842,0.005842,0.005842
65,4039.04,1.36207,1.05116,0.96662,0.50586,0.40102,0.41513,0.25139,1.30477,0.99683,0.96141,0.005776,0.005776,0.005776
66,4099.86,1.35958,1.04988,0.96786,0.50288,0.40243,0.4159,0.25286,1.30034,0.9922,0.96108,0.00571,0.00571,0.00571
67,4159.82,1.35745,1.04639,0.96634,0.52023,0.40024,0.41662,0.25389,1.30255,0.98948,0.96117,0.005644,0.005644,0.005644
68,4219.83,1.36293,1.04371,0.965,0.52354,0.39915,0.41616,0.25314,1.30011,0.98997,0.96052,0.005578,0.005578,0.005578
69,4281.01,1.34366,1.03193,0.96147,0.51726,0.3945,0.4145,0.25188,1.30081,0.98975,0.95961,0.005512,0.005512,0.005512
70,4342.93,1.35797,1.04629,0.96536,0.5249,0.39617,0.41607,0.25371,1.29787,0.98798,0.95895,0.005446,0.005446,0.005446
71,4405.26,1.35682,1.03935,0.9667,0.50507,0.40483,0.41681,0.25305,1.29491,0.98715,0.95856,0.00538,0.00538,0.00538
72,4467.18,1.35552,1.03884,0.9646,0.51653,0.39919,0.41861,0.25372,1.2982,0.9856,0.95857,0.005314,0.005314,0.005314
73,4528.8,1.35048,1.03933,0.96503,0.51778,0.40197,0.41739,0.25408,1.29858,0.98706,0.95885,0.005248,0.005248,0.005248
74,4591.31,1.34588,1.03327,0.96286,0.5109,0.4069,0.41856,0.25454,1.29444,0.98303,0.95825,0.005182,0.005182,0.005182
75,4653.07,1.3491,1.03554,0.96482,0.51157,0.40667,0.41919,0.25535,1.29923,0.98407,0.95883,0.005116,0.005116,0.005116
76,4714.54,1.35313,1.03419,0.96434,0.50801,0.41014,0.41874,0.25481,1.29562,0.98163,0.95852,0.00505,0.00505,0.00505
77,4776.04,1.35291,1.03233,0.96436,0.51669,0.40689,0.42219,0.25709,1.29653,0.98148,0.95845,0.004984,0.004984,0.004984
78,4838.04,1.34739,1.02679,0.95942,0.51288,0.40812,0.4212,0.25614,1.29799,0.97975,0.95847,0.004918,0.004918,0.004918
79,4900.28,1.34335,1.02584,0.95983,0.51809,0.40109,0.42098,0.2575,1.29477,0.98004,0.95727,0.004852,0.004852,0.004852
80,4962.15,1.34627,1.02253,0.95798,0.51492,0.40747,0.42275,0.25816,1.29187,0.97959,0.95706,0.004786,0.004786,0.004786
81,5023.66,1.33383,1.01727,0.95924,0.52203,0.41014,0.4244,0.25894,1.29174,0.9774,0.95701,0.00472,0.00472,0.00472
82,5085.39,1.33883,1.01745,0.96125,0.52612,0.40568,0.42275,0.25915,1.29287,0.97686,0.95658,0.004654,0.004654,0.004654
83,5147.74,1.3367,1.01408,0.95743,0.52036,0.40556,0.42303,0.25964,1.29273,0.97682,0.95722,0.004588,0.004588,0.004588
84,5209.74,1.33811,1.01632,0.96044,0.52023,0.40987,0.42484,0.26036,1.2904,0.97254,0.9564,0.004522,0.004522,0.004522
85,5271.42,1.33812,1.01575,0.96064,0.51753,0.40837,0.42304,0.25913,1.29002,0.97407,0.95605,0.004456,0.004456,0.004456
86,5332.78,1.32397,1.00278,0.9559,0.52317,0.40427,0.42247,0.25895,1.28964,0.97311,0.95629,0.00439,0.00439,0.00439
87,5394.84,1.3301,1.0079,0.95887,0.51792,0.40862,0.424,0.25969,1.28814,0.97208,0.95577,0.004324,0.004324,0.004324
88,5457.14,1.3331,1.00973,0.95708,0.5256,0.40951,0.42598,0.26088,1.28916,0.97175,0.95628,0.004258,0.004258,0.004258
89,5517.58,1.33162,1.01283,0.95712,0.52155,0.40868,0.42578,0.26072,1.2899,0.97245,0.95604,0.004192,0.004192,0.004192
90,5576.88,1.33107,1.00584,0.95625,0.52144,0.41195,0.4263,0.26082,1.28974,0.97335,0.9553,0.004126,0.004126,0.004126
91,5638.35,1.32864,1.00456,0.95519,0.52425,0.41098,0.42724,0.26171,1.2866,0.97022,0.95463,0.00406,0.00406,0.00406
92,5699.3,1.32678,1.00236,0.9556,0.52698,0.40812,0.42706,0.26178,1.28623,0.96654,0.95412,0.003994,0.003994,0.003994
93,5759.85,1.32434,0.999,0.95473,0.53718,0.4038,0.42691,0.26262,1.2866,0.96741,0.95422,0.003928,0.003928,0.003928
94,5820.24,1.32269,0.99754,0.95387,0.52505,0.41331,0.42802,0.26277,1.28693,0.96585,0.95433,0.003862,0.003862,0.003862
95,5882.37,1.32575,0.99738,0.9541,0.52203,0.41514,0.42788,0.26262,1.28867,0.96595,0.95442,0.003796,0.003796,0.003796
96,5944.43,1.32483,0.99231,0.95491,0.52445,0.41253,0.42777,0.263,1.28599,0.96524,0.95361,0.00373,0.00373,0.00373
97,6004.69,1.32965,0.99631,0.95477,0.52924,0.41451,0.42977,0.26391,1.2869,0.96556,0.95354,0.003664,0.003664,0.003664
98,6064.61,1.31547,0.98428,0.95257,0.52399,0.41554,0.42946,0.26346,1.28494,0.96562,0.95324,0.003598,0.003598,0.003598
99,6126.51,1.32144,0.98849,0.95408,0.5285,0.417,0.42938,0.26321,1.28486,0.96511,0.95368,0.003532,0.003532,0.003532
100,6185.11,1.32228,0.98781,0.95344,0.53434,0.41356,0.43008,0.26387,1.28475,0.96499,0.95361,0.003466,0.003466,0.003466
101,6246.02,1.31308,0.98263,0.95248,0.53389,0.41345,0.43114,0.26416,1.28442,0.96347,0.95325,0.0034,0.0034,0.0034
102,6306.6,1.31451,0.98238,0.95102,0.52465,0.41841,0.43055,0.26398,1.28337,0.96401,0.95299,0.003334,0.003334,0.003334
103,6368.47,1.31641,0.98826,0.95304,0.52903,0.41582,0.4306,0.26383,1.28393,0.96342,0.95291,0.003268,0.003268,0.003268
104,6430.25,1.3161,0.9831,0.95187,0.52899,0.41258,0.43084,0.26382,1.28308,0.96357,0.95273,0.003202,0.003202,0.003202
105,6491.89,1.32084,0.9854,0.95263,0.52569,0.4171,0.43101,0.26368,1.28333,0.96367,0.95282,0.003136,0.003136,0.003136
106,6553.89,1.30803,0.97622,0.94907,0.52842,0.41329,0.43176,0.26423,1.28392,0.96369,0.9531,0.00307,0.00307,0.00307
107,6615.86,1.30754,0.97699,0.94901,0.52934,0.41739,0.43233,0.26502,1.28314,0.96439,0.95262,0.003004,0.003004,0.003004
108,6678.08,1.3106,0.97473,0.94801,0.53605,0.41448,0.43194,0.26537,1.28268,0.96436,0.95226,0.002938,0.002938,0.002938
109,6739.56,1.31929,0.98224,0.95267,0.53643,0.41571,0.43268,0.26555,1.28354,0.96457,0.95229,0.002872,0.002872,0.002872
110,6800.5,1.30265,0.96694,0.94809,0.5333,0.4156,0.43229,0.26556,1.28378,0.96351,0.95255,0.002806,0.002806,0.002806
111,6861.8,1.30385,0.97026,0.94715,0.53591,0.41606,0.43294,0.26563,1.28396,0.96356,0.95276,0.00274,0.00274,0.00274
112,6923.61,1.30864,0.96802,0.94876,0.53535,0.41436,0.4332,0.26553,1.28334,0.96263,0.95251,0.002674,0.002674,0.002674
113,6985.37,1.29906,0.96363,0.9469,0.54112,0.41262,0.43381,0.26624,1.28391,0.96227,0.95261,0.002608,0.002608,0.002608
114,7047.26,1.30296,0.96823,0.94833,0.53859,0.41596,0.43463,0.26624,1.28388,0.96202,0.95248,0.002542,0.002542,0.002542
115,7109.29,1.30112,0.96453,0.94732,0.53819,0.41536,0.43429,0.26621,1.28413,0.96158,0.95232,0.002476,0.002476,0.002476
116,7171.03,1.29787,0.95965,0.94756,0.53382,0.41796,0.43397,0.2659,1.28384,0.96138,0.95227,0.00241,0.00241,0.00241
117,7232.5,1.29409,0.95641,0.9442,0.53456,0.41665,0.43395,0.26596,1.28393,0.9607,0.95238,0.002344,0.002344,0.002344
118,7292.14,1.29792,0.95662,0.9463,0.5405,0.41466,0.43442,0.26586,1.28453,0.96012,0.95225,0.002278,0.002278,0.002278
119,7353.21,1.29678,0.9594,0.94447,0.54374,0.41307,0.43444,0.26612,1.28502,0.96021,0.95245,0.002212,0.002212,0.002212
120,7415.33,1.29712,0.9546,0.94568,0.53636,0.41656,0.43442,0.26639,1.28486,0.9601,0.95231,0.002146,0.002146,0.002146
121,7477.13,1.30026,0.95712,0.94666,0.53886,0.41571,0.43408,0.26636,1.28522,0.95978,0.9521,0.00208,0.00208,0.00208
122,7538.71,1.29329,0.95482,0.94625,0.53828,0.41753,0.43498,0.26637,1.28475,0.95944,0.95189,0.002014,0.002014,0.002014
123,7600.68,1.29971,0.95167,0.94475,0.53521,0.41856,0.43427,0.26643,1.28425,0.95975,0.95152,0.001948,0.001948,0.001948
124,7662.86,1.29574,0.95271,0.94491,0.53674,0.41806,0.43417,0.26636,1.28418,0.95963,0.9515,0.001882,0.001882,0.001882
125,7732.62,1.29411,0.94946,0.94486,0.53783,0.41787,0.43432,0.26641,1.28393,0.95944,0.95146,0.001816,0.001816,0.001816
126,7793.6,1.28913,0.94789,0.94432,0.53669,0.41906,0.4345,0.26652,1.28348,0.95871,0.95138,0.00175,0.00175,0.00175
127,7854.18,1.29484,0.95089,0.94624,0.53854,0.41751,0.43477,0.2667,1.28335,0.95906,0.95139,0.001684,0.001684,0.001684
128,7916.62,1.29404,0.95268,0.94528,0.54081,0.41672,0.43461,0.26664,1.28243,0.95852,0.95125,0.001618,0.001618,0.001618
129,7978.42,1.28256,0.94239,0.94124,0.53989,0.41666,0.43473,0.26653,1.2829,0.95894,0.95133,0.001552,0.001552,0.001552
130,8038.95,1.2863,0.94008,0.94221,0.53343,0.41925,0.43454,0.26626,1.2826,0.95836,0.95117,0.001486,0.001486,0.001486
131,8101.04,1.28729,0.94413,0.94376,0.53746,0.4178,0.43494,0.26632,1.2826,0.95829,0.95122,0.00142,0.00142,0.00142
132,8162.61,1.27923,0.93144,0.94165,0.53461,0.41875,0.43469,0.26647,1.28223,0.95831,0.95114,0.001354,0.001354,0.001354
