epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3145,2.74558,3.67446,1.63164,0.38445,0.12774,0.07246,0.0361,1.98571,2.20724,1.19681,0.0033251,0.0033251,0.0033251
2,146.943,1.92408,2.20351,1.18145,0.25307,0.18118,0.12057,0.06501,1.7479,1.81057,1.13483,0.00661449,0.00661449,0.00661449
3,217.814,1.83203,1.96815,1.1421,0.19514,0.19418,0.13745,0.07517,1.71109,1.69442,1.11555,0.00985988,0.00985988,0.00985988
4,284.027,1.7573,1.79459,1.10974,0.26458,0.23552,0.1852,0.10308,1.62683,1.52412,1.08667,0.009802,0.009802,0.009802
5,352.092,1.69947,1.67814,1.08892,0.26312,0.25882,0.20662,0.11638,1.57738,1.43327,1.06044,0.009736,0.009736,0.009736
6,416.775,1.66115,1.58375,1.07065,0.28949,0.25579,0.2244,0.13185,1.5373,1.40644,1.05105,0.00967,0.00967,0.00967
7,484.432,1.63063,1.51716,1.06067,0.31083,0.26972,0.24488,0.1415,1.53737,1.36578,1.05111,0.009604,0.009604,0.009604
8,548.326,1.60665,1.47013,1.05073,0.35256,0.29186,0.26924,0.15821,1.48638,1.29235,1.02743,0.009538,0.009538,0.009538
9,612.845,1.58839,1.43228,1.04605,0.35592,0.30465,0.274,0.16063,1.49637,1.28744,1.03704,0.009472,0.009472,0.009472
10,678.703,1.56344,1.39142,1.03696,0.3468,0.29763,0.2751,0.16043,1.49456,1.26638,1.03216,0.009406,0.009406,0.009406
11,743.134,1.55051,1.36918,1.03393,0.37519,0.32218,0.29316,0.17275,1.4545,1.27016,1.01625,0.00934,0.00934,0.00934
12,811.749,1.53979,1.33941,1.02746,0.40748,0.31265,0.30439,0.17756,1.44835,1.21631,1.01554,0.009274,0.009274,0.009274
13,876.067,1.52969,1.32558,1.02405,0.41744,0.31885,0.31092,0.18184,1.43709,1.20137,1.01429,0.009208,0.009208,0.009208
14,942.678,1.51153,1.3019,1.02039,0.41707,0.33127,0.31572,0.18514,1.42749,1.17135,1.00744,0.009142,0.009142,0.009142
15,1007.88,1.50469,1.28788,1.01804,0.40381,0.33567,0.31985,0.18912,1.41634,1.16197,1.00275,0.009076,0.009076,0.009076
16,1072.02,1.49971,1.27459,1.01617,0.39927,0.33773,0.31845,0.18823,1.40379,1.15513,0.99779,0.00901,0.00901,0.00901
17,1139.01,1.487,1.26192,1.01311,0.40446,0.33211,0.32043,0.19052,1.42012,1.16117,1.00364,0.008944,0.008944,0.008944
18,1202.13,1.49522,1.25476,1.01345,0.40734,0.34219,0.33198,0.19705,1.40202,1.1359,0.99825,0.008878,0.008878,0.008878
19,1266.54,1.47995,1.23733,1.00884,0.4084,0.34932,0.33031,0.19543,1.39031,1.13,0.99563,0.008812,0.008812,0.008812
20,1332.04,1.47855,1.23572,1.00964,0.43002,0.34303,0.33765,0.20135,1.38767,1.13518,0.99307,0.008746,0.008746,0.008746
21,1394.8,1.47097,1.22411,1.00734,0.41115,0.34547,0.33565,0.20017,1.39231,1.12961,0.99318,0.00868,0.00868,0.00868
22,1460.47,1.46733,1.21963,1.00645,0.41934,0.35997,0.34704,0.20507,1.38752,1.11043,0.99392,0.008614,0.008614,0.008614
23,1526.08,1.45881,1.20648,1.00269,0.44867,0.35128,0.34826,0.20745,1.38868,1.1116,0.99196,0.008548,0.008548,0.008548
24,1588.96,1.45273,1.19618,0.9998,0.429,0.36199,0.34973,0.20917,1.3776,1.10538,0.99113,0.008482,0.008482,0.008482
25,1654.81,1.44528,1.18633,0.99757,0.43925,0.36266,0.35514,0.21199,1.36458,1.09651,0.98507,0.008416,0.008416,0.008416
26,1718.46,1.44549,1.18618,0.99973,0.43129,0.36202,0.35381,0.21168,1.36283,1.09861,0.98224,0.00835,0.00835,0.00835
27,1784.59,1.44592,1.17452,0.99684,0.45761,0.36465,0.36543,0.21976,1.35758,1.08162,0.98326,0.008284,0.008284,0.008284
28,1848.19,1.43939,1.1657,0.99522,0.45586,0.37162,0.36699,0.21982,1.35937,1.07823,0.98307,0.008218,0.008218,0.008218
29,1914.35,1.43972,1.16877,0.99384,0.46003,0.36452,0.3659,0.22011,1.36245,1.08139,0.98707,0.008152,0.008152,0.008152
30,1978.22,1.42646,1.15895,0.99143,0.4669,0.36974,0.37447,0.22406,1.35504,1.06479,0.9825,0.008086,0.008086,0.008086
31,2045.33,1.42465,1.15365,0.99292,0.46535,0.37177,0.37344,0.22311,1.34838,1.06059,0.98131,0.00802,0.00802,0.00802
32,2109.48,1.42923,1.14778,0.98978,0.46213,0.37462,0.37463,0.22393,1.34973,1.06061,0.98107,0.007954,0.007954,0.007954
33,2174.98,1.42204,1.14229,0.99014,0.46593,0.37284,0.37613,0.22577,1.34987,1.06109,0.97978,0.007888,0.007888,0.007888
34,2239.76,1.42193,1.13682,0.99073,0.46581,0.38068,0.37957,0.22782,1.34933,1.0547,0.97846,0.007822,0.007822,0.007822
35,2304.63,1.41815,1.13924,0.9889,0.46998,0.3733,0.38016,0.22973,1.35012,1.05698,0.97996,0.007756,0.007756,0.007756
36,2369.46,1.41095,1.12719,0.98686,0.48201,0.37747,0.38706,0.23118,1.35135,1.04738,0.97748,0.00769,0.00769,0.00769
37,2432.86,1.4079,1.12257,0.98388,0.48998,0.37568,0.38613,0.23141,1.33692,1.04081,0.97692,0.007624,0.007624,0.007624
38,2498.11,1.4152,1.12377,0.98702,0.47159,0.38504,0.38867,0.23437,1.34469,1.04277,0.97546,0.007558,0.007558,0.007558
39,2561.28,1.41091,1.1206,0.98308,0.49754,0.37998,0.39084,0.23557,1.33868,1.04776,0.97521,0.007492,0.007492,0.007492
40,2626.93,1.40402,1.11172,0.98405,0.48551,0.38219,0.39148,0.23541,1.33124,1.03723,0.97278,0.007426,0.007426,0.007426
41,2689.65,1.4056,1.11124,0.98319,0.4947,0.37981,0.39383,0.2391,1.33592,1.03807,0.97442,0.00736,0.00736,0.00736
42,2755.08,1.40051,1.10765,0.98119,0.47172,0.39317,0.39487,0.23801,1.33104,1.034,0.97342,0.007294,0.007294,0.007294
43,2819.4,1.39964,1.10471,0.98268,0.48952,0.38699,0.39259,0.23774,1.33008,1.03025,0.9754,0.007228,0.007228,0.007228
44,2881.83,1.3832,1.0937,0.97925,0.48198,0.39077,0.39491,0.23807,1.33216,1.02563,0.9729,0.007162,0.007162,0.007162
45,2947.89,1.39121,1.09709,0.9808,0.48084,0.38528,0.39115,0.23649,1.32317,1.02837,0.97029,0.007096,0.007096,0.007096
46,3011.17,1.38553,1.08833,0.97831,0.49968,0.38938,0.40293,0.24362,1.32528,1.01926,0.97068,0.00703,0.00703,0.00703
47,3077.28,1.39261,1.09513,0.9824,0.49318,0.39547,0.4036,0.24341,1.32508,1.01783,0.96985,0.006964,0.006964,0.006964
48,3139.86,1.38478,1.08609,0.97718,0.49302,0.39537,0.40349,0.24299,1.3252,1.01033,0.97068,0.006898,0.006898,0.006898
49,3203.66,1.38635,1.08882,0.97833,0.50163,0.39295,0.40658,0.24591,1.32007,1.00996,0.96844,0.006832,0.006832,0.006832
50,3269.66,1.38981,1.0855,0.97744,0.49218,0.39344,0.40501,0.24467,1.31606,1.01223,0.96808,0.006766,0.006766,0.006766
51,3333.4,1.38446,1.08366,0.97605,0.49501,0.39669,0.40731,0.24583,1.32038,1.01237,0.96925,0.0067,0.0067,0.0067
52,3398.98,1.37659,1.07522,0.97356,0.48967,0.39422,0.40528,0.24595,1.31382,1.00794,0.96655,0.006634,0.006634,0.006634
53,3462.4,1.38165,1.07874,0.97493,0.50615,0.39343,0.40851,0.24759,1.31792,1.00576,0.96985,0.006568,0.006568,0.006568
54,3528.49,1.38051,1.07698,0.97628,0.49518,0.39472,0.40647,0.24613,1.3172,1.00532,0.96847,0.006502,0.006502,0.006502
55,3592.85,1.37628,1.07378,0.97546,0.50813,0.39523,0.40791,0.24648,1.31508,1.00411,0.96686,0.006436,0.006436,0.006436
56,3658.11,1.37732,1.06796,0.97063,0.51355,0.39499,0.41072,0.24838,1.31711,1.00092,0.9667,0.00637,0.00637,0.00637
57,3732.59,1.37453,1.06406,0.9733,0.51573,0.39512,0.41402,0.25021,1.31001,0.99848,0.9652,0.006304,0.006304,0.006304
58,3798.05,1.36976,1.05937,0.97297,0.51148,0.39577,0.41466,0.25199,1.31288,0.99541,0.9671,0.006238,0.006238,0.006238
59,3862.83,1.37221,1.06413,0.9741,0.51207,0.40558,0.4188,0.25349,1.31355,0.99652,0.96598,0.006172,0.006172,0.006172
60,3929.7,1.36599,1.05595,0.97102,0.52652,0.3984,0.4168,0.25286,1.31285,0.99461,0.9662,0.006106,0.006106,0.006106
61,3995.45,1.36512,1.0541,0.97046,0.51807,0.39974,0.4176,0.25411,1.30569,0.99051,0.96301,0.00604,0.00604,0.00604
62,4059.32,1.36368,1.05222,0.96793,0.50251,0.40994,0.41945,0.25459,1.3036,0.9912,0.9631,0.005974,0.005974,0.005974
63,4124.92,1.35954,1.04778,0.97094,0.50063,0.40882,0.41842,0.25358,1.30831,0.99142,0.96387,0.005908,0.005908,0.005908
64,4188.48,1.35581,1.04337,0.9669,0.51078,0.40084,0.4166,0.2537,1.31036,0.99058,0.96476,0.005842,0.005842,0.005842
65,4255.17,1.35977,1.04299,0.96875,0.51717,0.40563,0.41992,0.25466,1.30801,0.98707,0.96419,0.005776,0.005776,0.005776
66,4318.14,1.35784,1.04313,0.96919,0.52342,0.39709,0.41955,0.2556,1.30325,0.98687,0.9624,0.00571,0.00571,0.00571
67,4383.93,1.35485,1.0382,0.9678,0.50685,0.4034,0.41828,0.25406,1.30463,0.98604,0.9631,0.005644,0.005644,0.005644
68,4448.97,1.36196,1.03672,0.96696,0.51453,0.40488,0.42062,0.25634,1.30251,0.98277,0.96172,0.005578,0.005578,0.005578
69,4513.01,1.34294,1.0247,0.96303,0.51703,0.40716,0.4216,0.25671,1.30239,0.98246,0.96269,0.005512,0.005512,0.005512
70,4580.21,1.35655,1.03914,0.96717,0.51541,0.40106,0.42032,0.25534,1.30228,0.98196,0.9622,0.005446,0.005446,0.005446
71,4644.66,1.35556,1.03458,0.96837,0.52073,0.40517,0.42343,0.25736,1.30039,0.97823,0.96142,0.00538,0.00538,0.00538
72,4709.95,1.35493,1.03156,0.96562,0.52527,0.40529,0.42538,0.25817,1.30366,0.98055,0.96019,0.005314,0.005314,0.005314
73,4775.97,1.34845,1.03342,0.96682,0.52151,0.40475,0.42348,0.25739,1.30322,0.97959,0.96102,0.005248,0.005248,0.005248
74,4840.07,1.3454,1.02815,0.9644,0.51922,0.40744,0.42553,0.25815,1.29833,0.97656,0.96016,0.005182,0.005182,0.005182
75,4908.04,1.34777,1.03002,0.96626,0.52149,0.41139,0.4262,0.25888,1.30342,0.97582,0.96217,0.005116,0.005116,0.005116
76,4972.86,1.34915,1.02856,0.96493,0.52762,0.40804,0.42711,0.25977,1.30038,0.9738,0.9607,0.00505,0.00505,0.00505
77,5036.35,1.3523,1.0256,0.96588,0.51934,0.40599,0.42625,0.25974,1.29706,0.97221,0.96018,0.004984,0.004984,0.004984
78,5104.12,1.34657,1.02078,0.96118,0.52539,0.40122,0.4255,0.25939,1.29618,0.97356,0.96024,0.004918,0.004918,0.004918
79,5167.87,1.34329,1.02047,0.96255,0.5279,0.40595,0.42738,0.2608,1.29677,0.97336,0.96015,0.004852,0.004852,0.004852
80,5234.24,1.3462,1.01716,0.96004,0.52878,0.40677,0.42795,0.26008,1.29726,0.97234,0.96115,0.004786,0.004786,0.004786
81,5299.35,1.33302,1.01218,0.96086,0.52324,0.40964,0.42878,0.26147,1.29331,0.97074,0.9595,0.00472,0.00472,0.00472
82,5362.96,1.3367,1.01158,0.96299,0.51476,0.4112,0.42784,0.26075,1.29373,0.9695,0.95986,0.004654,0.004654,0.004654
83,5429.96,1.33644,1.00857,0.9599,0.51744,0.41135,0.42822,0.26015,1.29391,0.96936,0.95942,0.004588,0.004588,0.004588
