epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6189,1.69069,2.38574,1.13626,0.33057,0.22778,0.19125,0.10819,1.51542,1.4882,1.0596,0.0033251,0.0033251,0.0033251
2,127.658,1.61629,1.64005,1.07599,0.31837,0.27928,0.23412,0.13395,1.4872,1.4591,1.04047,0.00661449,0.00661449,0.00661449
3,187.648,1.61861,1.55748,1.06833,0.35645,0.28581,0.25569,0.14496,1.53274,1.35612,1.05152,0.00985988,0.00985988,0.00985988
4,247.18,1.59827,1.48458,1.05835,0.3595,0.32261,0.28781,0.16338,1.49738,1.34807,1.0491,0.009802,0.009802,0.009802
5,305.427,1.56909,1.42658,1.0489,0.3921,0.31478,0.29372,0.17165,1.4536,1.25278,1.02296,0.009736,0.009736,0.009736
6,363.354,1.54552,1.37021,1.0382,0.38736,0.30388,0.28572,0.17173,1.47773,1.25762,1.01788,0.00967,0.00967,0.00967
7,420.819,1.52909,1.32484,1.03033,0.39629,0.34606,0.31652,0.18605,1.43583,1.18596,1.02235,0.009604,0.009604,0.009604
8,477.936,1.51334,1.29629,1.02406,0.40915,0.34253,0.32578,0.1968,1.39502,1.18164,1.00108,0.009538,0.009538,0.009538
9,535.631,1.50005,1.26962,1.02137,0.43007,0.35434,0.34141,0.2025,1.40711,1.17278,1.00687,0.009472,0.009472,0.009472
10,591.391,1.48269,1.24087,1.01414,0.44208,0.35654,0.3486,0.20784,1.39503,1.14116,1.00194,0.009406,0.009406,0.009406
11,647.746,1.47471,1.22746,1.01272,0.46082,0.35671,0.35382,0.2097,1.38509,1.14194,0.9975,0.00934,0.00934,0.00934
12,705.241,1.46872,1.20295,1.00823,0.45087,0.36463,0.35487,0.21114,1.38315,1.12643,0.99578,0.009274,0.009274,0.009274
13,761.614,1.46039,1.19034,1.00545,0.44529,0.37403,0.36234,0.21562,1.37758,1.10499,0.99445,0.009208,0.009208,0.009208
14,817.921,1.44643,1.17614,1.00314,0.46337,0.36478,0.36362,0.22032,1.37698,1.09898,0.99137,0.009142,0.009142,0.009142
15,874.15,1.44205,1.16838,1.00205,0.48327,0.3737,0.37604,0.22542,1.37409,1.09573,0.99006,0.009076,0.009076,0.009076
16,931.167,1.43711,1.15854,1.00029,0.46734,0.36958,0.36825,0.22038,1.36156,1.07958,0.98922,0.00901,0.00901,0.00901
17,988.055,1.42777,1.14633,0.99776,0.47637,0.37798,0.3741,0.22649,1.36145,1.081,0.98574,0.008944,0.008944,0.008944
18,1044.05,1.43647,1.14365,0.99873,0.48205,0.37557,0.38222,0.22929,1.34694,1.06442,0.98593,0.008878,0.008878,0.008878
19,1100.69,1.42297,1.12971,0.99405,0.48153,0.36701,0.37755,0.22934,1.35235,1.06902,0.98331,0.008812,0.008812,0.008812
20,1157.07,1.42389,1.12972,0.99661,0.47844,0.38728,0.38615,0.2327,1.34663,1.0827,0.98705,0.008746,0.008746,0.008746
21,1213.98,1.41751,1.12149,0.99385,0.48933,0.37785,0.38837,0.23529,1.3497,1.05774,0.98415,0.00868,0.00868,0.00868
22,1269.85,1.41593,1.11992,0.9937,0.48745,0.38601,0.39254,0.23612,1.35865,1.04948,0.9857,0.008614,0.008614,0.008614
23,1325.77,1.40945,1.1109,0.99089,0.49753,0.37823,0.39303,0.23818,1.3444,1.04298,0.97972,0.008548,0.008548,0.008548
24,1382.39,1.4025,1.10028,0.98732,0.47554,0.38484,0.38886,0.23473,1.33636,1.04774,0.9798,0.008482,0.008482,0.008482
25,1438.57,1.39848,1.09218,0.98584,0.48123,0.38732,0.39219,0.23764,1.33627,1.05224,0.97931,0.008416,0.008416,0.008416
26,1495.2,1.39643,1.09098,0.98743,0.48353,0.38877,0.39722,0.24021,1.33702,1.04705,0.97903,0.00835,0.00835,0.00835
27,1552.22,1.39846,1.08388,0.98587,0.503,0.39204,0.40379,0.24671,1.33364,1.03443,0.97707,0.008284,0.008284,0.008284
28,1609.37,1.39492,1.07728,0.98436,0.48936,0.38971,0.40006,0.24295,1.33258,1.03121,0.97474,0.008218,0.008218,0.008218
29,1665.54,1.39609,1.08277,0.98348,0.48684,0.40003,0.40541,0.2457,1.33586,1.0167,0.97722,0.008152,0.008152,0.008152
30,1721.89,1.38335,1.0726,0.98132,0.50743,0.39703,0.41322,0.25043,1.32208,1.01163,0.97269,0.008086,0.008086,0.008086
31,1779.32,1.38049,1.06656,0.9822,0.51081,0.39758,0.41098,0.24867,1.31414,1.01415,0.97273,0.00802,0.00802,0.00802
32,1836.29,1.38683,1.06306,0.97957,0.51153,0.39849,0.41277,0.25006,1.3226,1.00886,0.97428,0.007954,0.007954,0.007954
33,1893.25,1.37811,1.05904,0.97955,0.5021,0.40531,0.41556,0.2541,1.31846,1.00801,0.97154,0.007888,0.007888,0.007888
34,1950.14,1.38025,1.05602,0.98041,0.5048,0.3912,0.40424,0.24705,1.32032,1.00594,0.9726,0.007822,0.007822,0.007822
35,2006.45,1.37554,1.05913,0.97883,0.52034,0.3969,0.41796,0.25433,1.31997,1.00131,0.97238,0.007756,0.007756,0.007756
36,2063.58,1.3727,1.04894,0.9776,0.50133,0.4052,0.41809,0.25602,1.31814,1.00208,0.97259,0.00769,0.00769,0.00769
37,2120.64,1.36684,1.04345,0.97483,0.51521,0.40408,0.42004,0.25746,1.3151,1.00014,0.97134,0.007624,0.007624,0.007624
38,2177.76,1.37412,1.04598,0.97777,0.51086,0.40808,0.42335,0.25919,1.31501,0.99662,0.97227,0.007558,0.007558,0.007558
39,2234.17,1.37074,1.04277,0.97382,0.52101,0.39844,0.41646,0.25513,1.31355,1.00654,0.97023,0.007492,0.007492,0.007492
40,2290.13,1.36481,1.03445,0.97471,0.50835,0.40352,0.41934,0.25643,1.31294,0.98982,0.96894,0.007426,0.007426,0.007426
41,2346.21,1.36604,1.03506,0.97425,0.52426,0.40346,0.42327,0.25836,1.31424,0.98692,0.97081,0.00736,0.00736,0.00736
42,2402.53,1.36105,1.03338,0.97246,0.51091,0.41642,0.4317,0.26379,1.30296,0.97672,0.96623,0.007294,0.007294,0.007294
43,2459.41,1.36234,1.02985,0.97433,0.50991,0.40767,0.42225,0.25859,1.30866,0.9873,0.9696,0.007228,0.007228,0.007228
44,2516.12,1.346,1.02203,0.97117,0.51387,0.40516,0.42485,0.26067,1.30318,0.9799,0.96686,0.007162,0.007162,0.007162
45,2572.63,1.35417,1.02411,0.97261,0.52262,0.41042,0.42681,0.26136,1.30438,0.98158,0.96532,0.007096,0.007096,0.007096
46,2628.82,1.34861,1.01441,0.96983,0.53042,0.40631,0.42614,0.26169,1.3027,0.97851,0.96641,0.00703,0.00703,0.00703
47,2685.67,1.35478,1.02142,0.97341,0.51879,0.41552,0.42853,0.26136,1.30673,0.98026,0.96578,0.006964,0.006964,0.006964
48,2742.52,1.34717,1.01668,0.96877,0.51319,0.42029,0.42936,0.26138,1.30818,0.97359,0.9668,0.006898,0.006898,0.006898
49,2798.81,1.3514,1.01856,0.97025,0.51923,0.41203,0.42784,0.26131,1.30018,0.97622,0.96568,0.006832,0.006832,0.006832
50,2855.86,1.35325,1.01438,0.96941,0.52008,0.41904,0.43429,0.26508,1.29871,0.97423,0.96502,0.006766,0.006766,0.006766
51,2912.52,1.34851,1.01151,0.96745,0.51984,0.40935,0.43245,0.26441,1.29417,0.97589,0.96336,0.0067,0.0067,0.0067
52,2968.91,1.3417,1.00445,0.9658,0.52408,0.41648,0.43215,0.26624,1.29411,0.9681,0.96296,0.006634,0.006634,0.006634
53,3025.36,1.34759,1.009,0.96779,0.52018,0.41401,0.43513,0.26696,1.29267,0.96475,0.96409,0.006568,0.006568,0.006568
54,3080.96,1.34711,1.00791,0.96883,0.52366,0.42045,0.43744,0.26807,1.29246,0.96387,0.96359,0.006502,0.006502,0.006502
55,3137.18,1.34284,1.00541,0.96807,0.53538,0.41403,0.43419,0.26564,1.29945,0.9649,0.96379,0.006436,0.006436,0.006436
56,3193.23,1.34204,0.9984,0.9634,0.5377,0.41178,0.43727,0.26871,1.29366,0.96158,0.96288,0.00637,0.00637,0.00637
57,3257.24,1.34064,0.9957,0.96676,0.53717,0.41205,0.43919,0.26949,1.29242,0.96069,0.96335,0.006304,0.006304,0.006304
58,3313.42,1.33636,0.99126,0.96608,0.55142,0.40957,0.43898,0.27059,1.28901,0.9571,0.96221,0.006238,0.006238,0.006238
59,3369.32,1.33843,0.99589,0.96654,0.52716,0.41849,0.43774,0.26814,1.29259,0.96012,0.96306,0.006172,0.006172,0.006172
60,3426.31,1.33257,0.98866,0.96369,0.5287,0.42103,0.44038,0.27005,1.29114,0.95543,0.96191,0.006106,0.006106,0.006106
61,3482.79,1.33055,0.98728,0.96283,0.54592,0.41717,0.44217,0.27049,1.28627,0.95312,0.95999,0.00604,0.00604,0.00604
62,3539.09,1.33038,0.98712,0.9609,0.53309,0.42745,0.444,0.27192,1.28738,0.95374,0.96113,0.005974,0.005974,0.005974
63,3596.42,1.32599,0.9801,0.96386,0.53993,0.42021,0.44334,0.27371,1.28769,0.95177,0.96028,0.005908,0.005908,0.005908
64,3652.86,1.32349,0.9785,0.9596,0.54297,0.4191,0.44277,0.27187,1.28961,0.95365,0.96079,0.005842,0.005842,0.005842
65,3708.88,1.32677,0.98053,0.96157,0.53751,0.42167,0.44387,0.27305,1.28297,0.95015,0.95938,0.005776,0.005776,0.005776
66,3765.21,1.32359,0.97772,0.96195,0.53561,0.42652,0.44571,0.27382,1.27966,0.94649,0.95811,0.00571,0.00571,0.00571
