epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.24,2.31061,3.88574,2.72643,0.39577,0.14271,0.08414,0.03314,1.46123,2.50204,1.90467,0.00332921,0.00332921,0.00332921
2,282.485,1.39836,2.72431,1.76041,0.34036,0.16788,0.1085,0.04647,1.21558,2.33177,1.65805,0.00661857,0.00661857,0.00661857
3,432.385,1.24007,2.53769,1.61291,0.34661,0.16391,0.13345,0.05891,1.09846,2.08969,1.55412,0.00986393,0.00986393,0.00986393
4,571.625,1.1516,2.40037,1.53099,0.33809,0.19797,0.15498,0.07441,1.01408,1.98244,1.4698,0.009802,0.009802,0.009802
5,710.133,1.08796,2.25277,1.47217,0.3495,0.21868,0.17755,0.09002,0.97194,1.92208,1.42138,0.009736,0.009736,0.009736
6,851.663,1.04218,2.14496,1.43313,0.26221,0.22487,0.19184,0.0989,0.94055,1.89589,1.39858,0.00967,0.00967,0.00967
7,979.746,1.01372,2.07963,1.40881,0.39265,0.22505,0.19579,0.10176,0.92132,1.86881,1.38473,0.009604,0.009604,0.009604
1,186.426,2.22039,3.87204,2.66846,0.2073,0.13917,0.08771,0.03776,1.42638,2.49208,1.84966,0.00333127,0.00333127,0.00333127
2,361.311,1.40558,2.76383,1.77055,0.30744,0.1634,0.09203,0.04008,1.1817,2.2767,1.61516,0.00662062,0.00662062,0.00662062
3,537.481,1.26551,2.58812,1.63663,0.29769,0.17374,0.12862,0.06053,1.10491,2.16311,1.56042,0.00986597,0.00986597,0.00986597
4,714.819,1.16106,2.43661,1.54693,0.30945,0.2052,0.14313,0.07064,1.02957,2.05273,1.47841,0.009802,0.009802,0.009802
5,892.547,1.10057,2.29965,1.49287,0.23086,0.23193,0.17672,0.09096,0.97059,1.94659,1.43158,0.009736,0.009736,0.009736
6,1069.36,1.05552,2.19213,1.45275,0.32558,0.22071,0.17268,0.08904,0.97872,1.97179,1.42539,0.00967,0.00967,0.00967
7,1241.53,1.02788,2.11293,1.43052,0.36594,0.24924,0.20436,0.10717,0.91727,1.86212,1.3832,0.009604,0.009604,0.009604
8,1419.05,1.00522,2.06561,1.41099,0.30209,0.25284,0.21142,0.11243,0.90115,1.81361,1.36608,0.009538,0.009538,0.009538
9,1591.62,0.99262,2.01653,1.40081,0.29277,0.27966,0.23362,0.12456,0.88738,1.77261,1.35389,0.009472,0.009472,0.009472
10,1767.54,0.97615,1.9731,1.38575,0.30832,0.28447,0.24034,0.13003,0.87616,1.769,1.34464,0.009406,0.009406,0.009406
11,1941.35,0.95977,1.92965,1.36823,0.32948,0.28175,0.2461,0.13451,0.86695,1.74179,1.33468,0.00934,0.00934,0.00934
12,2116.45,0.95049,1.89647,1.3571,0.34169,0.28867,0.26116,0.14355,0.85686,1.70569,1.32367,0.009274,0.009274,0.009274
