epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.077,2.9448,3.35882,2.91345,0.11398,0.17388,0.09985,0.04332,2.25414,2.19212,2.15201,0.00332921,0.00332921,0.00332921
2,289.581,2.23626,2.33486,2.03463,0.11712,0.21143,0.12911,0.06213,1.98667,1.99777,1.8595,0.00661857,0.00661857,0.00661857
3,448.785,2.09557,2.21218,1.88514,0.25869,0.19251,0.13122,0.0605,2.16358,2.1309,1.93548,0.00986393,0.00986393,0.00986393
4,589.341,2.01323,2.11423,1.80178,0.39719,0.21651,0.17499,0.08821,1.85951,1.80901,1.71869,0.009802,0.009802,0.009802
5,730.708,1.9476,2.00482,1.73323,0.27783,0.24063,0.20502,0.10895,1.77071,1.69288,1.65067,0.009736,0.009736,0.009736
6,873.511,1.89489,1.92111,1.68785,0.29547,0.25996,0.21954,0.12033,1.72333,1.61691,1.61121,0.00967,0.00967,0.00967
1,195.836,2.88025,3.30309,2.79363,0.30093,0.16973,0.10227,0.046,2.14895,2.16491,2.0508,0.00333127,0.00333127,0.00333127
2,380.095,2.19443,2.37542,2.00099,0.31921,0.19054,0.12338,0.05929,1.94513,1.96605,1.83232,0.00662062,0.00662062,0.00662062
3,560.929,2.08122,2.24377,1.87309,0.39357,0.20941,0.16288,0.08398,1.86516,1.85707,1.75082,0.00986597,0.00986597,0.00986597
4,738.07,1.99558,2.1311,1.78868,0.32754,0.22797,0.18591,0.09792,1.81869,1.76131,1.69272,0.009802,0.009802,0.009802
5,914.179,1.93655,2.03868,1.73048,0.26053,0.25126,0.20685,0.1098,1.80319,1.70234,1.65734,0.009736,0.009736,0.009736
6,1092.09,1.89678,1.95544,1.69047,0.25797,0.26641,0.21296,0.11494,1.74708,1.68518,1.62214,0.00967,0.00967,0.00967
7,1268.1,1.86259,1.89431,1.66281,0.3018,0.26533,0.23338,0.13095,1.69949,1.60214,1.59008,0.009604,0.009604,0.009604
8,1443.68,1.84227,1.84615,1.64358,0.3437,0.28256,0.26063,0.14558,1.67395,1.56056,1.56584,0.009538,0.009538,0.009538
9,1616.15,1.81785,1.79962,1.62938,0.33792,0.3041,0.26906,0.14891,1.66526,1.52615,1.56082,0.009472,0.009472,0.009472
10,1789.09,1.79884,1.76186,1.61077,0.33773,0.30217,0.26837,0.15081,1.66014,1.52817,1.54637,0.009406,0.009406,0.009406
11,1963.3,1.78092,1.72208,1.59213,0.34896,0.31378,0.27835,0.1563,1.64625,1.49645,1.54044,0.00934,0.00934,0.00934
12,2138.08,1.76929,1.69354,1.57871,0.37854,0.31097,0.28948,0.16201,1.63042,1.46511,1.52782,0.009274,0.009274,0.009274
13,2314.86,1.76015,1.67563,1.57412,0.37878,0.32494,0.29982,0.17012,1.61945,1.44905,1.51641,0.009208,0.009208,0.009208
14,2493.78,1.74627,1.6493,1.56503,0.38111,0.32932,0.30252,0.17257,1.61397,1.44608,1.5088,0.009142,0.009142,0.009142
15,2670.58,1.73344,1.62661,1.55079,0.36764,0.33901,0.30506,0.17352,1.59181,1.41597,1.49571,0.009076,0.009076,0.009076
16,2847.33,1.72113,1.61353,1.54964,0.39123,0.33751,0.31577,0.17991,1.58235,1.4026,1.48891,0.00901,0.00901,0.00901
17,3019.54,1.71531,1.58809,1.54331,0.39429,0.33989,0.31724,0.1798,1.58201,1.38727,1.48449,0.008944,0.008944,0.008944
18,3195.89,1.71403,1.57647,1.53789,0.39024,0.35016,0.32463,0.18464,1.57686,1.38418,1.47952,0.008878,0.008878,0.008878
19,3370.28,1.70378,1.55891,1.52443,0.40753,0.33982,0.32415,0.1843,1.57728,1.37146,1.47805,0.008812,0.008812,0.008812
